Category;Term;Count;List Total;Pop Hits;Pop Total;P-Value;Benjamini;Fold Enrichment;Bonferroni;FDR;Fisher Exact;User Ids
GOTERM_MF_DIRECT;protein binding;70;143;5655;24402;2.96E-11;1.08E-08;2.11;1.08E-08;1.07E-08;1.38E-11;ITGB5,NCF2,FHL2,TRP63,IRS2,RORA,LDLRAD3,AQP4,GRIK1,ARRB1,RND3,SOX2,RNF157,EDNRB,PPP1R13L,DPYSL5,BOC,PIEZO2,ITGAV,PHLDA1,WLS,SOX5,TEAD4,EDARADD,PRKCH,KLF13,TPM1,ADAM10,SLC39A10,FRMD4B,FOXP4,KLF15,CACNB2,TIAM1,KIFC3,PDZRN3,SKAP1,PELI2,HPCA,HIF1A,FBLN2,DLL1,FOXO1,SBNO2,WNT11,FIP1L1,NRIP1,HES1,ASIC2,FILIP1L,MEST,BCL9L,ABCA1,JAG2,UVRAG,JAG1,PTCH1,HMGA2,BMP7,DEF6,EFNA1,MEIS1,LIN28A,LHX1,PMP22,PLXNB2,CTNNB1,CNTN2,BMPR1B,FGFR3
GOTERM_BP_DIRECT;positive regulation of transcription by RNA polymerase II;29;144;1346;26481;6.80E-10;1.06E-06;3.96;1.06E-06;1.03E-06;1.68E-10;TRP63,RORA,ARRB1,DLL1,HIF1A,FOXO1,IRF2BPL,SOX2,SUPT20,SBNO2,NRIP1,HES1,SOX5,BCL9L,TEAD4,JAG1,KLF13,IRX3,HMGA2,TBX6,NR2F2,PPRC1,BMP7,KLF15,MEIS1,CTNNB1,HOXB1,BMPR1B,SKAP1
GOTERM_BP_DIRECT;positive regulation of DNA-templated transcription;21;144;813;26481;1.65E-08;1.04E-05;4.75;2.56E-05;1.01E-05;3.36E-09;TEAD4,RBPMS,PTCH1,CITED4,HMGA2,ARID5B,TRP63,RORA,NR2F2,TBX6,BMP7,KLF15,HIF1A,FOXO1,SOX2,SUPT20,WNT11,LHX1,CTNNB1,HES1,SKAP1
UP_SEQ_FEATURE;REGION:Disordered;116;143;13163;22331;1.67E-08;1.14E-05;1.38;1.14E-05;1.13E-05;1.20E-08;SLC35B3,TMEM200B,ZFAND3,NCF2,TMEM94,THUMPD2,TRP63,ZFP608,IRS2,AQP4,RORA,LDLRAD3,MSI2,FRY,SOX2,EDNRB,PIEZO2,NKX1-1,SIL1,PHLDA1,BAHCC1,SOX5,MYLIP,TPM1,TTC7B,KAZN,ARID5B,ADAM10,FRMD4B,FOXP4,DKK2,CACNB2,TIAM1,HOXB1,MYL9,SKAP1,PKDCC,NXPH3,HPCA,ZFP503,FBLN2,HIF1A,FOXO1,NKAIN1,SBNO2,ALX3,ASIC2,BCL9L,ABCA1,JAG2,UVRAG,HACE1,JAG1,PTCH1,PLK2,HMGA2,NR2F2,FANCE,BMP7,IBTK,LIN28A,LHX1,CNTN2,STT3B,BMPR1B,FGFR3,PLEKHF2,PTPRU,PHTF2,SLC44A1,CITED4,ARHGEF10L,ARRB1,WFDC2,IRF2BPL,RNF157,PPP1R13L,BOC,ITGAV,TEAD4,EDARADD,PLEKHG1,KLF13,SLC39A10,PPRC1,KLF15,AJAP1,ARL4C,MPPED1,DMRTA1,DSG2,KIFC3,PDZRN3,DSCAML1,PELI2,DLL1,SUPT20,LMAN1,FIP1L1,NRIP1,NNAT,HES1,FILIP1L,LY6G6E,OFCC1,GALNT2,TPBG,IRX3,TBX6,MERTK,DEF6,MPP7,MEIS1,PDE10A,CTNNB1,ENGASE
GOTERM_BP_DIRECT;regulation of transcription by RNA polymerase II;29;144;1571;26481;2.00E-08;1.04E-05;3.39;3.11E-05;1.01E-05;5.75E-09;FHL2,ZFP608,RORA,ARRB1,HIF1A,FOXO1,IRF2BPL,SOX2,SUPT20,PCBP3,PPP1R13L,NRIP1,ALX3,NKX1-1,HES1,SOX5,TEAD4,KLF13,IRX3,ARID5B,TBX6,NR2F2,FOXP4,KLF15,MEIS1,DMRTA1,LHX1,CTNNB1,HOXB1
GOTERM_BP_DIRECT;negative regulation of transcription by RNA polymerase II;22;144;1062;26481;2.79E-07;8.95E-05;3.81;4.34E-04;8.74E-05;7.14E-08;PTCH1,IRX3,FHL2,HMGA2,ARID5B,TRP63,ZFP608,NR2F2,TBX6,FOXP4,HIF1A,FOXO1,IRF2BPL,SOX2,EFNA1,EDNRB,PCBP3,PPP1R13L,NRIP1,CTNNB1,HES1,FGFR3
GOTERM_BP_DIRECT;negative regulation of neuron differentiation;8;144;81;26481;2.88E-07;8.95E-05;18.16;4.47E-04;8.74E-05;1.45E-08;SOX2,MEIS1,JAG1,IRX3,CNTN2,HES1,BMP7,DLL1
GOTERM_BP_DIRECT;neuron differentiation;11;144;232;26481;5.67E-07;1.47E-04;8.72;8.81E-04;1.44E-04;6.20E-08;SOX2,EFNA1,WNT11,DPYSL5,LHX1,IRX3,CTNNB1,HES1,LYPD6,BAHCC1,DLL1
GOTERM_BP_DIRECT;in utero embryonic development;13;144;366;26481;7.61E-07;1.69E-04;6.53;1.18E-03;1.65E-04;1.12E-07;JAG2,TEAD4,MBNL1,PTCH1,TPM1,ADAM10,NR2F2,DLL1,LMAN1,GNA12,CTNNB1,HES1,SOX5
UP_SEQ_FEATURE;COMPBIAS:Low complexity;55;143;4650;22331;1.87E-06;6.40E-04;1.85;1.28E-03;6.36E-04;9.98E-07;PHTF2,TMEM200B,ZFAND3,CITED4,TRP63,ZFP608,IRS2,RORA,LDLRAD3,ARHGEF10L,AQP4,MSI2,FRY,IRF2BPL,SOX2,RNF157,PPP1R13L,PIEZO2,NKX1-1,PHLDA1,BAHCC1,SOX5,TEAD4,MYLIP,PLEKHG1,KLF13,TTC7B,FRMD4B,FOXP4,PPRC1,AJAP1,CACNB2,TIAM1,DMRTA1,DSG2,KIFC3,PKDCC,ZFP503,HIF1A,FOXO1,SUPT20,FIP1L1,ALX3,HES1,ASIC2,BCL9L,OFCC1,UVRAG,PTCH1,TPBG,IRX3,TBX6,NR2F2,LHX1,FGFR3
