Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0001972~retinoic acid binding	2	12.5	0.009639309337865179	CYP26A1, CRABP1	15	20	28924	192.82666666666665	0.5116725271006306	0.7133088910020232	0.7133088910020232
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription by RNA polymerase II	4	25.0	0.012948770254758256	IRX2, DLX1, CD36, ETV3	16	1005	29712	7.391044776119403	0.9137294716615252	1.0	1.0
GOTERM_BP_DIRECT	GO:0015908~fatty acid transport	2	12.5	0.017528764930319407	CRABP1, CD36	16	35	29712	106.11428571428571	0.9640142421692246	1.0	1.0
GOTERM_CC_DIRECT	GO:0098688~parallel fiber to Purkinje cell synapse	2	12.5	0.021982255599273085	GRM4, SNAP91	16	44	29722	84.4375	0.7183149106665971	0.9740904528849575	0.9740904528849575
GOTERM_BP_DIRECT	GO:0031623~receptor internalization	2	12.5	0.02790792999642137	LRRTM1, CD36	16	56	29712	66.32142857142857	0.9951135747470795	1.0	1.0
GOTERM_BP_DIRECT	GO:0030514~negative regulation of BMP signaling pathway	2	12.5	0.03036402985322455	DLX1, SOST	16	61	29712	60.885245901639344	0.9969630406840222	1.0	1.0
UP_KW_PTM	KW-0325~Glycoprotein	7	43.75	0.03504198780909751	GRM4, LRRTM1, SOST, CD36, LGR6, LCLAT1, SNAP91	10	4236	13214	2.1836166194523137	0.2746030113624406	0.3504198780909751	0.3504198780909751
GOTERM_CC_DIRECT	GO:0048787~presynaptic active zone membrane	2	12.5	0.03622307334821982	GRM4, SNAP91	16	73	29722	50.89383561643836	0.8779151100741565	0.9740904528849575	0.9740904528849575
UP_SEQ_FEATURE	DOMAIN:LRRNT	2	12.5	0.06344593594289549	LRRTM1, LGR6	16	97	22253	28.676546391752577	0.9828194575635112	0.4543988694523237	0.4543988694523237
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	7	43.75	0.06587958562442416	PAQR8, GRM4, RASGEF1B, DIRAS2, CD36, LGR6, SNAP91	16	6054	29722	2.1478980839114636	0.9794428356306479	0.9740904528849575	0.9740904528849575
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=7	3	18.75	0.0682839175506787	PAQR8, GRM4, LGR6	16	643	22253	6.48901632970451	0.9875381447823968	0.4543988694523237	0.4543988694523237
GOTERM_CC_DIRECT	GO:0098978~glutamatergic synapse	3	18.75	0.06972314448622985	PLCXD3, GRM4, LRRTM1	16	869	29722	6.412974683544304	0.983748392516835	0.9740904528849575	0.9740904528849575
UP_SEQ_FEATURE	REPEAT:LRR 10	2	12.5	0.07039863625875553	LRRTM1, LGR6	16	108	22253	25.755787037037035	0.9891757295653459	0.4543988694523237	0.4543988694523237
GOTERM_BP_DIRECT	GO:0007268~chemical synaptic transmission	2	12.5	0.07406552263453123	GRM4, SNAP91	16	152	29712	24.43421052631579	0.9999994786996415	1.0	1.0
UP_KW_DOMAIN	KW-1133~Transmembrane helix	7	43.75	0.07614548345054861	PAQR8, DLX1, GRM4, LRRTM1, CD36, LGR6, LCLAT1	10	5621	14896	1.8550435865504358	0.37824180519015005	0.27101314170307045	0.27101314170307045
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	5	31.25	0.07718270035061818	PAQR8, GRM4, LRRTM1, CD36, LGR6	16	2481	22253	2.802927247077791	0.9931265448678845	0.4543988694523237	0.4543988694523237
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=6	3	18.75	0.08193996940349564	PAQR8, GRM4, LGR6	16	714	22253	5.843749999999999	0.9950110751680162	0.4543988694523237	0.4543988694523237
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=5	3	18.75	0.08313189240826402	PAQR8, GRM4, LGR6	16	720	22253	5.795052083333333	0.9953971616746558	0.4543988694523237	0.4543988694523237
UP_SEQ_FEATURE	REPEAT:LRR 9	2	12.5	0.0866412564184204	LRRTM1, LGR6	16	134	22253	20.75839552238806	0.996371173377165	0.4543988694523237	0.4543988694523237
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=3	3	18.75	0.08714533694754412	PAQR8, GRM4, LGR6	16	740	22253	5.638429054054054	0.9964932760552924	0.4543988694523237	0.4543988694523237
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=4	3	18.75	0.0881582308464294	PAQR8, GRM4, LGR6	16	745	22253	5.600587248322148	0.9967265335107867	0.4543988694523237	0.4543988694523237
GOTERM_MF_DIRECT	GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific	3	18.75	0.08877581406020066	IRX2, DLX1, ETV3	15	1043	28924	5.5463087248322145	0.9989713499776329	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=1	3	18.75	0.09039974255984606	PAQR8, GRM4, LGR6	16	756	22253	5.519097222222222	0.9971898103821492	0.4543988694523237	0.4543988694523237
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=2	3	18.75	0.09142451383015063	PAQR8, GRM4, LGR6	16	761	22253	5.482835085413929	0.9973795073899742	0.4543988694523237	0.4543988694523237
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	6	37.5	0.09174059807212535	GRM4, LRRTM1, SOST, CD36, LGR6, LCLAT1	16	3733	22253	2.2354339673185106	0.9974354336700096	0.4543988694523237	0.4543988694523237
UP_SEQ_FEATURE	REPEAT:LRR 8	2	12.5	0.0952771823045195	LRRTM1, LGR6	16	148	22253	18.794763513513512	0.9979864440307203	0.4543988694523237	0.4543988694523237
