Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0016055~Wnt signaling pathway	19	8.4070796460177	3.359997335263661E-12	TLE4, FZD1, WNT10B, DLX3, WNT5A, KREMEN1, WNT7A, PRICKLE1, APCDD1, MESD, MYC, ENPP1, SOSTDC1, ROR1, SOST, LGR6, FERMT2, CD44, DACT1	225	244	26568	9.194754098360656	7.2172348097865324E-9	3.86421196052259E-9	3.6213494769701928E-9
GOTERM_BP_DIRECT	GO:0030182~neuron differentiation	19	8.4070796460177	3.5979627192947767E-12	IRX1, WNT10B, IRX2, IRX5, IRX4, WNT5A, EN1, WNT7A, ACSL4, GATA3, POU4F1, PTPRD, DAB1, SALL1, LHX2, TUBB3, DOK5, LMX1B, GAS7	225	245	26568	9.157224489795919	7.728527151584785E-9	3.86421196052259E-9	3.6213494769701928E-9
UP_KW_MOLECULAR_FUNCTION	KW-9996~Developmental protein	42	18.58407079646018	3.476538017900152E-11	DLX1, DLX2, DLX3, DLX4, CTNND2, PLEKHB1, HOXC13, ZFP36L2, FGF8, CHL1, CREB3L1, FLRT1, ENC1, HOXA1, MSX1, DACT1, BHLHA9, FZD1, PAQR8, NGFR, WNT10B, EPHA4, EYA1, MSX2, EYA2, UNC5B, WNT5A, IRX4, WNT7A, EN1, UNC5C, POU4F1, BMP4, GAP43, DAB1, KIF26B, FAT3, SPRY1, LMX1B, PLPP3, FREM1, GAS7	158	1083	12802	3.1422560398330934	1.8078014640821038E-9	9.038998846540395E-10	9.038998846540395E-10
UP_KW_MOLECULAR_FUNCTION	KW-0217~Developmental protein	42	18.58407079646018	3.476538017900152E-11	DLX1, DLX2, DLX3, DLX4, CTNND2, PLEKHB1, HOXC13, ZFP36L2, FGF8, CHL1, CREB3L1, FLRT1, ENC1, HOXA1, MSX1, DACT1, BHLHA9, FZD1, PAQR8, NGFR, WNT10B, EPHA4, EYA1, MSX2, EYA2, UNC5B, WNT5A, IRX4, WNT7A, EN1, UNC5C, POU4F1, BMP4, GAP43, DAB1, KIF26B, FAT3, SPRY1, LMX1B, PLPP3, FREM1, GAS7	158	1083	12802	3.1422560398330934	1.8078014640821038E-9	9.038998846540395E-10	9.038998846540395E-10
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	79	34.95575221238938	4.840202256838946E-11	VLDLR, SLC6A2, PCSK5, CDH8, SLC8A1, HS6ST3, GRM4, FGF8, CDH2, CHL1, CREB3L1, LRRTM1, ITGB8, ENPP1, SOSTDC1, SOST, CAR12, CMKLR1, HS3ST3B1, CHST8, EPHA4, UNC5B, HGF, WNT5A, KREMEN1, P3H2, EMP1, UNC5C, SLC39A14, SHISA7, TGFBR2, RGMA, ADAMTS20, ADAM9, ROR1, PLPP3, PLA2R1, FJX1, FREM1, CD44, EPHA2, ITGA9, GRIA1, PARM1, GPR87, NTM, NRXN3, PRCP, TNFRSF11A, APCDD1, SLC7A1, MESD, CRHR1, MAN2A1, ADAMTS18, FLRT1, HAS3, SLC13A5, DRD5, FZD1, NGFR, WNT10B, TMEM132C, TGFB2, TGFB1, NEGR1, TRPA1, KCNB2, WNT7A, PTPRD, BMP4, FAP, BAMBI, UST, FAT3, LGR6, SDK2, ITM2B, SERINC5	226	3737	22290	2.0849979042391205	4.719200752401065E-8	4.7191972004179725E-8	4.680475582363261E-8
GOTERM_MF_DIRECT	GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific	36	15.929203539823009	4.84697805898548E-11	DLX1, DLX2, DLX3, DLX4, AHR, HOXC13, GATA3, BARX2, SALL1, SALL3, MYC, CREB3L1, ZIM1, HOXA1, SOX9, MSX1, BHLHA9, TFAP2A, IRX1, TFAP2B, IRX2, IRX5, MSX2, IRX4, EN1, KLF14, POU4F1, ETV4, MLXIPL, ZFP322A, MYCN, LHX2, BHLHE40, SP8, SP7, LMX1B	222	1080	24521	3.681831831831832	2.3556314676653756E-8	2.3556313366669435E-8	2.2780796877231758E-8
INTERPRO	IPR017970:Homeobox_CS	17	7.52212389380531	5.085036774806902E-11	IRX1, DLX1, IRX2, DLX2, DLX3, MSX2, IRX5, DLX4, IRX4, EN1, HOXC13, POU4F1, BARX2, LHX2, HOXA1, MSX1, LMX1B	224	183	22313	9.253537275565964	4.1239611836552115E-8	4.123964824368398E-8	4.0883695669447496E-8
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	27	11.946902654867257	5.806213458647614E-11	NTM, CTNND2, NRXN3, NEDD9, CDH8, NUAK1, PDZD2, CDH2, CHL1, FLRT1, CLDN23, ITGB8, EPHA4, PCDH9, NEGR1, DAB1, FAP, ADAM9, FAT3, PLPP3, PLCB1, FREM1, FERMT2, SDK2, CD44, EPHA2, ITGA9	225	650	26568	4.904861538461539	1.247174059582079E-7	4.157248836391692E-8	3.895969230752549E-8
GOTERM_MF_DIRECT	GO:1990837~sequence-specific double-stranded DNA binding	26	11.504424778761061	1.3613445324653304E-10	DLX1, DLX2, DLX3, DLX4, AHR, HOXC13, GATA3, NR3C1, BARX2, CREB3L1, HOXA1, SOX9, MSX1, TFAP2A, IRX1, TFAP2B, IRX5, MSX2, EN1, KLF14, POU4F1, ETV4, MYCN, BHLHE40, SP8, LMX1B	222	585	24521	4.909109109109109	6.616133418901882E-8	3.308067213890753E-8	3.1991596512935263E-8
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	38	16.8141592920354	1.4470373226630895E-10	DLX1, DLX2, DLX3, PIK3R1, AHR, HOXC13, GATA3, NR3C1, BARX2, SALL1, MYC, CREB3L1, ZIM1, HOXA1, SOX9, MSX1, FZD1, TFAP2A, WNT10B, TFAP2B, TGFB1, EYA1, WNT5A, IRX4, WNT7A, EN1, KLF14, POU4F1, ETV4, RGMA, BMP4, MLXIPL, MYCN, LHX2, SP7, LMX1B, PLPP3, TOX	225	1328	26568	3.3787951807228915	3.1082348528332915E-7	7.613567453842398E-8	7.135061119452863E-8
GOTERM_BP_DIRECT	GO:0030326~embryonic limb morphogenesis	11	4.867256637168142	1.7722456829242082E-10	BMP4, TGFB2, CYP26B1, MSX2, WNT5A, WNT7A, EN1, SP8, LMX1B, MSX1, PRICKLE1	225	65	26568	19.98276923076923	3.8067830043786444E-7	7.613567453842398E-8	7.135061119452863E-8
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription by RNA polymerase II	41	18.141592920353983	2.186869662031214E-10	DLX1, DLX2, DLX3, DLX4, AHR, HOXC13, GATA3, NR3C1, BARX2, SALL1, SALL3, MYC, CREB3L1, ZIM1, HOXA1, SOX9, MSX1, BHLHA9, TFAP2A, IRX1, WNT10B, TFAP2B, IRX2, IRX5, MSX2, IRX4, ZFP91, EN1, KLF14, SMAD6, POU4F1, ETV4, MLXIPL, ZFP322A, MYCN, LHX2, BHLHE40, SP8, SP7, LMX1B, TOX	225	1548	26568	3.1274418604651166	4.6973947431805385E-7	7.828993390071746E-8	7.336947716114723E-8
GOTERM_MF_DIRECT	GO:0005515~protein binding	93	41.150442477876105	5.579341347708923E-10	MAPKBP1, PRAG1, PLEKHB1, DYSF, VLDLR, AHR, NR3C1, SLC8A1, SALL1, CDH2, TUBB3, CHL1, MYC, GSG1, SOSTDC1, HOXA1, SOST, SOX9, DACT1, TLE4, EPHA4, MSX2, UNC5B, HGF, WNT5A, EN1, UNC5C, GAB2, MYRIP, SHISA7, TGFBR2, RGMA, TIAM2, GAP43, DNAJC1, MYCN, PLCB4, DOK5, ADAM9, LMX1B, PLCB1, CD44, EPHA2, SKAP2, GRIA1, DLX1, DLX2, DLX3, NRXN3, NEDD9, PIK3R1, TNFRSF11A, PRICKLE1, GATA3, SLC7A1, MESD, BARX2, CRHR1, NFIL3, SMYD2, MSX1, PDLIM5, RUNX1T1, TFAP2A, NGFR, TFAP2B, TGFB2, TGFB1, PCDH9, TRPA1, EYA1, EYA2, PLEKHA2, SORBS2, ARHGAP26, SMAD6, POU4F1, PTPRD, BMP4, MLXIPL, ZFP322A, TEC, DAB1, LHX2, GJB6, KIF26B, BHLHE40, LNX1, SPRY1, SP7, CPEB2, RETREG1, ITM2B	222	5653	24521	1.817143253283356	2.7115595702120743E-7	9.038532983288456E-8	8.740968111410646E-8
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	59	26.10619469026549	5.909594248033653E-10	DYSF, SLC7A11, VLDLR, SLC6A2, PCSK5, CDH8, SLC8A1, GRM4, CDH2, CHL1, LRRTM1, CLDN23, ITGB8, ENPP1, CAR12, CMKLR1, PAQR8, EPHA4, UNC5B, KREMEN1, UNC5C, SLC39A14, SHISA7, TGFBR2, ADAM9, ROR1, PLPP3, PLA2R1, CD44, EPHA2, ITGA9, GRIA1, PARM1, GPR87, SLC41A2, NRXN3, TMTC1, TNFRSF11A, APCDD1, SLC7A1, CRHR1, FLRT1, HAS3, LRRC8C, CYYR1, DRD5, FZD1, NGFR, TMEM132C, TRPA1, KCNB2, PTPRD, FAP, BAMBI, GJB6, FAT3, LGR6, SDK2, SERINC5	226	2481	22290	2.345453767214904	5.761852418517677E-7	2.7942692003527686E-7	2.771341863324233E-7
UP_SEQ_FEATURE	TOPO_DOM:Cytoplasmic	71	31.41592920353982	8.597751385700827E-10	DYSF, SLC7A11, VLDLR, SLC6A2, PCSK5, CDH8, SLC8A1, HS6ST3, GRM4, CDH2, CHL1, CREB3L1, LRRTM1, CLDN23, ITGB8, ENPP1, CAR12, CMKLR1, HS3ST3B1, CHST8, PAQR8, EPHA4, UNC5B, SLC30A4, KREMEN1, ACSL4, UNC5C, SLC39A14, SHISA7, TGFBR2, DNAJC1, ADAM9, ROR1, PLPP3, PLA2R1, CD44, EPHA2, ITGA9, GRIA1, PARM1, GPR87, SLC41A2, NRXN3, TMTC1, TNFRSF11A, APCDD1, SLC7A1, CRHR1, MAN2A1, FLRT1, HAS3, LRRC8C, CYYR1, DRD5, FZD1, GALNT7, NGFR, TMEM132C, TRPA1, KCNB2, PTPRD, FAP, BAMBI, GJB6, UST, FAT3, LGR6, RETREG1, SDK2, ITM2B, SERINC5	226	3361	22290	2.083490217039282	8.382804105311337E-7	2.7942692003527686E-7	2.771341863324233E-7
GOTERM_BP_DIRECT	GO:0051216~cartilage development	12	5.3097345132743365	1.4887053303240075E-9	BMP4, DLX2, MSX2, WNT5A, WNT7A, ITGB8, ENPP1, MSX1, SOX9, GATA3, CD44, TGFBR2	225	105	26568	13.494857142857143	3.197734048443479E-6	4.5681986421942396E-7	4.281091185631753E-7
GOTERM_CC_DIRECT	GO:0009986~cell surface	28	12.389380530973451	2.4027973042092107E-9	GRIA1, NTM, SLC7A11, VLDLR, TNFRSF11A, PCSK6, SLC6A2, CDH2, ITGB8, ENPP1, FZD1, NGFR, EPHA4, TGFB2, TGFB1, WNT5A, WNT7A, UNC5C, RGMA, TGFBR2, FAP, ADAM9, ROR1, PLA2R1, FERMT2, CD44, EPHA2, ITGA9	226	842	27008	3.9740188762533366	6.343382853435386E-7	6.343384883112316E-7	5.526433799681185E-7
KEGG_PATHWAY	mmu04310:Wnt signaling pathway	15	6.637168141592921	5.4138156961995415E-9	TLE4, FZD1, WNT10B, CTNND2, WNT5A, WNT7A, PRICKLE1, APCDD1, PLCB4, BAMBI, MYC, ROR1, SOST, LGR6, PLCB1	116	175	10620	7.84729064039409	1.3209701690275466E-6	1.320971029872688E-6	1.1585565589867019E-6
INTERPRO	IPR001356:HD	17	7.52212389380531	1.2755675838336864E-8	IRX1, DLX1, IRX2, DLX2, DLX3, MSX2, IRX5, DLX4, IRX4, EN1, HOXC13, POU4F1, BARX2, LHX2, HOXA1, MSX1, LMX1B	224	267	22313	6.342312065275548	1.034479967165769E-5	5.172426552445598E-6	5.127781687011419E-6
