Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific	19	19.387755102040817	7.430986451463055E-9	TFAP2A, IRX2, DLX2, IRX5, DLX4, IRX4, AHR, KLF14, POU4F1, BARX2, MLXIPL, ZFP322A, SALL1, MYCN, SALL3, CREB3L1, BHLHE40, SOX9, SP7	96	1043	28924	5.488534675615212	1.9394856010102046E-6	1.9394874638318573E-6	1.8428846399628376E-6
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	47	47.95918367346938	1.3965063379233467E-8	ARHGAP8, PRAG1, HAAO, AHR, NR3C1, ZFP36L2, TTC28, SALL1, FGF8, PDZD2, CDH2, AOX3, LRRC8C, DACT1, ARRDC4, NGFR, EPHA4, TGFB1, EYA2, PLEKHA2, GAD1, TXNRD1, MTUS1, SLC39A11, DDHD1, ARHGAP26, POU4F1, IQCG, TIAM2, MLXIPL, ZFP322A, GAP43, DAB1, TEC, DOK5, RRAGB, BHLHE40, ARHGEF3, LNX1, ADAM9, SPRY1, SP7, PLCB1, TRIB2, FERMT2, SKAP2, GAS7	98	6408	29722	2.224473871945782	2.40198802436975E-6	2.4019909012281563E-6	2.2344101406773546E-6
GOTERM_MF_DIRECT	GO:0005515~protein binding	42	42.857142857142854	9.283716545918787E-8	DLX2, PRAG1, NRXN3, AHR, NR3C1, BARX2, SALL1, CDH2, NFIL3, CHL1, SOX9, DACT1, RUNX1T1, TFAP2A, NGFR, EPHA4, TGFB1, TRPA1, EYA2, PLEKHA2, WNT5A, SORBS2, ARHGAP26, POU4F1, SHISA7, TIAM2, MLXIPL, ZFP322A, GAP43, DNAJC1, DAB1, PLCB4, TEC, MYCN, DOK5, BHLHE40, LNX1, ADAM9, SPRY1, SP7, PLCB1, SKAP2	96	5596	28924	2.2613027162258756	2.4230207766762213E-5	1.2115250092424016E-5	1.1511808516939296E-5
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription by RNA polymerase II	21	21.428571428571427	1.1564350628943308E-7	TFAP2A, IRX2, DLX2, IRX5, DLX4, IRX4, ZFP91, AHR, KLF14, NR3C1, POU4F1, BARX2, MLXIPL, ZFP322A, SALL1, MYCN, SALL3, CREB3L1, BHLHE40, SOX9, SP7	97	1569	29712	4.0997417752459056	1.3934072436028178E-4	7.689388507188627E-5	7.459664037264319E-5
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	13	13.26530612244898	1.276247055135042E-7	EPHA4, NTM, NRXN3, DAB1, FAP, CDH2, CHL1, CLDN23, ADAM9, PLCB1, FREM1, FERMT2, ITGA9	97	523	29712	7.613806154028109	1.5377595517096498E-4	7.689388507188627E-5	7.459664037264319E-5
UP_SEQ_FEATURE	REGION:Disordered	82	83.6734693877551	1.6558106445905168E-7	ARHGAP8, PRAG1, KRT23, SNX13, AHR, NR3C1, PCSK6, CDH8, TTC28, SALL1, FGF8, CDH2, SALL3, CHL1, CREB3L1, CLDN23, SOX9, DACT1, ANKRD44, MTUS1, ZFP91, KLF14, PDIA6, IQCG, SHISA7, TIAM2, GAP43, DNAJC1, MYCN, PLCB4, PALLD, RRAGB, ARHGEF3, ADAM9, ROR1, PLA2R1, PLCB1, FREM1, TRIB2, SKAP2, GAS7, DLX2, DLX4, HAAO, NRXN3, BARX2, ZFP36L2, PDZD2, RASSF10, NFIL3, ADAMTS18, CHN2, LRRC8C, CYYR1, SLC13A5, RUNX1T1, TFAP2A, NGFR, TMEM132C, IRX2, TGFB1, IRX5, EYA2, PLEKHA2, KCNB2, TXNRD1, GAD1, IRX4, SORBS2, DDHD1, ARHGAP26, POU4F1, MLXIPL, TEC, DAB1, BHLHE40, UST, LNX1, SPRY1, SP7, SDK2, FERMT2	98	13109	22253	1.420387302071641	8.957535115361459E-5	8.957935587234696E-5	8.924819374342885E-5
GOTERM_MF_DIRECT	GO:1990837~sequence-specific double-stranded DNA binding	13	13.26530612244898	2.6382339064405014E-7	TFAP2A, DLX2, IRX5, DLX4, AHR, KLF14, NR3C1, POU4F1, BARX2, MYCN, CREB3L1, BHLHE40, SOX9	96	551	28924	7.1085148215366	6.885554340130273E-5	2.2952634986032363E-5	2.180940029324148E-5
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription by RNA polymerase II	16	16.3265306122449	7.92562673672944E-7	TFAP2A, IRX2, DLX2, TGFB1, DLX4, IRX4, AHR, NR3C1, POU4F1, BARX2, MLXIPL, SALL1, NFIL3, BHLHE40, SOX9, DACT1	97	1005	29712	4.876565625480843	9.54582496261458E-4	2.9227450247657383E-4	2.8354265012042724E-4
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	23	23.46938775510204	8.726652952141044E-7	TFAP2A, NGFR, EPHA4, TGFB1, PRAG1, IRX5, TRPA1, GAD1, TXNRD1, SORBS2, AHR, NR3C1, CDH8, FAP, CDH2, NFIL3, MAN2A1, CLDN23, LNX1, SLC13A5, PLCB1, RUNX1T1, GAS7	96	2094	28924	3.309316300541229	2.2773980479418032E-4	4.924637348275645E-5	4.679348897978391E-5
GOTERM_MF_DIRECT	GO:0001227~DNA-binding transcription repressor activity, RNA polymerase II-specific	10	10.204081632653061	9.434171165279013E-7	TFAP2A, IRX2, MLXIPL, SALL1, DLX4, NFIL3, CREB3L1, BHLHE40, NR3C1, POU4F1	96	313	28924	9.625931842385516	2.4620167095956713E-4	4.924637348275645E-5	4.679348897978391E-5
GOTERM_BP_DIRECT	GO:0045599~negative regulation of fat cell differentiation	6	6.122448979591836	9.702058173496227E-7	TGFB1, WNT5A, TRIB2, ZFP36L2, FERMT2, RUNX1T1	97	55	29712	33.415557638238056	0.0011684154475423147	2.9227450247657383E-4	2.8354265012042724E-4
