gene_id,RNA_DKO_17,RNA_DKO_40,RNA_DKO_41,RNA_WT_32,RNA_WT_53,RNA_WT_56
ENSMUSG00000102269.1|Gm7357,8,7,9,0,12,17
ENSMUSG00000025902.13|Sox17,663,318,163,5,19,20
ENSMUSG00000098104.1|Gm6085,130,122,157,123,120,143
ENSMUSG00000103922.1|Gm6123,135,141,113,106,127,106
ENSMUSG00000051951.5|Xkr4,0,0,26,0,25,34
ENSMUSG00000102851.1|Gm18956,0,0,0,0,0,0
ENSMUSG00000103377.1|Gm37180,0,0,0,0,0,0
ENSMUSG00000104017.1|Gm37363,0,0,0,0,0,5
ENSMUSG00000103025.1|Gm37686,0,0,29,0,0,0
ENSMUSG00000089699.1|Gm1992,0,0,0,0,0,0
ENSMUSG00000103201.1|Gm37329,0,0,0,0,0,0
ENSMUSG00000103161.1|Gm38148,0,0,0,0,0,0
ENSMUSG00000102331.1|Gm19938,0,0,12,9,0,7
ENSMUSG00000103147.1|Gm7341,4,0,4,6,2,0
ENSMUSG00000033845.13|Mrpl15,14268,12925,12163,12044,9361,11206
ENSMUSG00000102275.1|Gm37144,4,3,1,7,0,0
ENSMUSG00000104217.1|Gm37988,0,1,0,6,10,0
ENSMUSG00000025903.14|Lypla1,6733,6659,9953,11792,6901,10929
ENSMUSG00000033813.15|Tcea1,6912,6401,7328,9329,5405,6790
ENSMUSG00000062588.4|Gm6104,993,998,887,1174,849,1022
ENSMUSG00000104352.1|Gm7182,0,0,0,0,0,0
ENSMUSG00000025905.14|Oprk1,135,112,326,87,27,95
ENSMUSG00000033774.4|Npbwr1,195,35,4,5,0,38
ENSMUSG00000104385.1|Gm7449,2,2,1,1,2,1
ENSMUSG00000087247.3|Alkal1,0,0,0,0,0,0
ENSMUSG00000102706.1|Gm7417,0,1,1,0,0,0
ENSMUSG00000103355.1|Gm2147,6,12,12,8,9,6
ENSMUSG00000103845.1|Gm19026,55,102,40,45,133,41
ENSMUSG00000102135.1|Gm37108,60,69,39,36,35,41
ENSMUSG00000048538.7|Gm9826,490,549,519,599,326,377
ENSMUSG00000090031.2|4732440D04Rik,177,99,197,122,29,242
ENSMUSG00000025907.14|Rb1cc1,2621,2085,3384,3233,2091,3155
ENSMUSG00000051285.17|Pcmtd1,636,836,1848,1547,763,1817
ENSMUSG00000098201.1|Gm26983,4,3,2,2,2,3
ENSMUSG00000103509.1|Gm38372,18,3,4,10,0,0
ENSMUSG00000097797.6|Gm26901,92,36,93,105,118,18
ENSMUSG00000002459.17|Rgs20,0,47,24,0,38,0
ENSMUSG00000091305.1|Gm17100,0,0,0,0,0,0
ENSMUSG00000102653.1|Gm37079,0,0,0,0,0,0
ENSMUSG00000085623.1|Gm16041,0,0,0,0,0,0
ENSMUSG00000091665.1|Gm17101,0,0,0,0,0,0
ENSMUSG00000033793.12|Atp6v1h,9085,7015,7663,7487,5122,8513
ENSMUSG00000104226.1|Gm7470,1,0,0,0,1,1
ENSMUSG00000103903.1|Rps2-ps2,33,43,30,15,24,21
ENSMUSG00000101571.2|Gm6187,0,0,0,0,0,0
ENSMUSG00000061024.8|Rrs1,9688,6194,5774,10427,7708,9763
ENSMUSG00000025912.16|Mybl1,47,66,50,45,64,61
ENSMUSG00000079671.8|2610203C22Rik,0,0,0,0,0,5
ENSMUSG00000067879.3|Vxn,0,0,0,0,0,0
ENSMUSG00000025911.14|Adhfe1,52,118,223,25,49,61
ENSMUSG00000081441.3|Gm6161,719,555,582,723,441,545
ENSMUSG00000097893.8|1700034P13Rik,31,15,24,43,26,26
ENSMUSG00000045210.8|Vcpip1,1876,1372,2196,2505,1460,3456
ENSMUSG00000046101.16|Mcmdc2,111,93,103,105,23,54
ENSMUSG00000098234.7|Snhg6,578,518,456,604,478,516
ENSMUSG00000093178.1|Snord87,7,6,9,19,5,8
ENSMUSG00000025915.14|Sgk3,1036,850,1828,4301,2109,4608
ENSMUSG00000088916.1|Gm22607,0,2,0,0,0,0
ENSMUSG00000046334.4|Gm6195,22,20,9,26,43,27
ENSMUSG00000025909.16|Sntg1,0,11,0,0,0,0
ENSMUSG00000102647.1|Gm38024,0,0,0,0,0,0
ENSMUSG00000102253.1|Gm38259,0,0,0,0,0,0
ENSMUSG00000093970.1|Gm23358,0,0,0,0,0,0
ENSMUSG00000103884.1|Gm37005,0,0,0,0,0,0
ENSMUSG00000086195.1|Gm6152,0,1,0,0,0,0
ENSMUSG00000104504.1|Gm7445,0,1,0,1,0,1
ENSMUSG00000102316.1|Gm37629,0,0,0,0,0,0
ENSMUSG00000103819.1|Gm38008,0,0,0,0,0,0
ENSMUSG00000102871.1|Gm37143,0,0,0,0,0,0
ENSMUSG00000086235.1|Gm16284,5,2,0,0,0,0
ENSMUSG00000084353.1|Gm15452,254,295,231,178,169,168
ENSMUSG00000103933.1|Gm36964,23,29,14,19,16,17
ENSMUSG00000076135.1|Gm24276,2,2,1,2,1,2
ENSMUSG00000066693.2|Gm7493,28,32,20,18,23,26
ENSMUSG00000100648.1|Gm28659,11,11,7,6,6,10
ENSMUSG00000088153.1|Gm26348,0,2,3,0,0,0
ENSMUSG00000102556.1|Gm37569,0,0,0,0,0,0
ENSMUSG00000067851.11|Arfgef1,3658,2653,3269,3955,1929,3998
ENSMUSG00000056763.16|Cspp1,1453,897,1489,1620,644,1783
ENSMUSG00000102356.1|1700047N06Rik,0,8,0,3,0,3
ENSMUSG00000025917.9|Cops5,15116,13196,14668,13508,10597,12798
ENSMUSG00000101610.1|Gm7560,6,5,3,4,4,7
ENSMUSG00000097628.1|Gm2383,33,55,28,22,31,36
ENSMUSG00000042501.12|Cpa6,0,0,14,0,0,0
ENSMUSG00000103810.1|Gm38005,0,0,0,0,0,0
ENSMUSG00000094979.1|Gm25253,0,0,0,0,0,0
ENSMUSG00000083422.1|Gm15604,4,4,2,3,3,3
ENSMUSG00000081417.1|Gm15603,1,1,0,0,1,1
ENSMUSG00000077318.1|Gm24173,0,0,0,0,0,0
ENSMUSG00000048960.13|Prex2,248,368,195,138,37,72
ENSMUSG00000101827.1|Gm28686,1,1,0,8,0,0
ENSMUSG00000025938.16|Slco5a1,73,86,28,35,0,0
ENSMUSG00000016918.15|Sulf1,1434,2721,4017,4219,2653,6739
ENSMUSG00000005886.14|Ncoa2,3076,2578,3600,1643,1658,3005
ENSMUSG00000103495.1|Gm37409,0,1,36,13,0,0
ENSMUSG00000099183.1|Gm27881,0,2,0,0,0,0
ENSMUSG00000102639.1|Gm38223,0,11,5,5,0,5
ENSMUSG00000104170.1|Gm37702,0,0,21,7,0,6
ENSMUSG00000087782.1|Gm23169,0,0,0,0,0,0
ENSMUSG00000103085.1|Gm38120,0,12,18,16,3,17
ENSMUSG00000103506.1|Gm38376,3,2,25,0,0,18
ENSMUSG00000102664.1|Gm38380,11,20,69,89,20,11
ENSMUSG00000102166.1|Gm36947,32,12,71,5,28,3
ENSMUSG00000097711.1|Gm5523,40,53,30,27,33,28
ENSMUSG00000025937.6|Lactb2,1155,808,678,972,704,840
ENSMUSG00000102982.1|Gm38319,60,23,28,32,16,20
ENSMUSG00000025935.10|Tram1,9310,7544,9175,12191,7870,10839
ENSMUSG00000095853.1|Gm22616,0,2,2,0,0,0
ENSMUSG00000102588.1|Gm37444,0,0,4,0,0,0
ENSMUSG00000025932.14|Eya1,2112,1348,1626,794,282,695
ENSMUSG00000081201.1|Smt3h2-ps4,2410,1968,3287,2096,961,2424
ENSMUSG00000082193.1|Rpl5-ps1,1950,2130,1319,1016,1187,1240
ENSMUSG00000032769.5|Trpa1,77,70,208,60,0,49
ENSMUSG00000101652.1|Gm6060,0,0,0,0,0,0
ENSMUSG00000073737.3|Gm10566,2381,2435,2343,1804,1584,1888
ENSMUSG00000067795.13|4930444P10Rik,0,11,16,4,0,15
ENSMUSG00000104379.1|Gm37509,0,0,0,0,0,0
ENSMUSG00000088943.1|Gm23259,0,0,0,0,0,0
ENSMUSG00000032719.4|Sbspon,119,76,50,21,26,43
ENSMUSG00000025925.14|Terf1,4690,3981,4312,4938,4019,4680
ENSMUSG00000102937.1|Gm38116,0,0,5,9,0,0
ENSMUSG00000104149.1|Gm37138,0,0,0,13,0,0
ENSMUSG00000088829.1|Gm25227,0,0,0,0,0,0
ENSMUSG00000092083.4|Kcnb2,70,21,158,102,100,122
ENSMUSG00000102457.1|Gm38342,0,5,16,12,0,7
ENSMUSG00000025939.19|Ube2w,2236,2027,3056,2761,2054,2174
ENSMUSG00000097744.1|D030040B21Rik,9,0,0,0,0,0
ENSMUSG00000100093.1|Gm29649,2,1,3,0,3,1
ENSMUSG00000091020.3|Gm5828,17,13,11,15,21,16
ENSMUSG00000025779.10|Ly96,112,225,227,105,53,106
ENSMUSG00000100398.1|Gm5251,1,1,1,3,1,0
ENSMUSG00000079658.9|Eloc,7594,7490,7067,6995,6020,6421
ENSMUSG00000101589.1|Rbm6-ps1,60,27,38,78,68,61
ENSMUSG00000102048.1|Gm6075,7,8,4,6,8,6
ENSMUSG00000025940.6|Tmem70,4611,4091,4261,5356,3577,4115
ENSMUSG00000100868.1|Gm28095,0,0,0,0,0,0
ENSMUSG00000025920.19|Stau2,4401,2973,4575,4600,3692,4232
ENSMUSG00000089982.7|Gm7568,4,0,6,9,0,0
ENSMUSG00000101306.1|Gm5252,1,1,1,0,1,1
ENSMUSG00000043716.13|Rpl7,51000,52070,45740,46781,34833,39522
ENSMUSG00000025921.7|Rdh10,2037,2983,3761,2278,1509,2751
ENSMUSG00000101640.1|Gm28376,0,0,0,0,0,0
ENSMUSG00000104133.1|4921511E07Rik,0,0,0,0,0,0
ENSMUSG00000042686.5|Jph1,81,136,51,62,0,79
ENSMUSG00000067773.6|Defb41,0,0,0,0,0,0
ENSMUSG00000101685.1|Gm17837,3,3,2,2,3,2
ENSMUSG00000099473.1|Gm18775,0,0,0,0,0,0
ENSMUSG00000102001.1|Gm28755,0,0,0,0,0,0
ENSMUSG00000101717.2|Gm45784,0,0,0,0,0,0
ENSMUSG00000099591.1|Gm17969,4,2,0,2,0,3
ENSMUSG00000109887.1|Gm28756,7,13,29,15,0,0
ENSMUSG00000085125.7|Gm16070,39,71,8,31,0,35
ENSMUSG00000025776.13|Crispld1,907,1411,1030,677,708,529
ENSMUSG00000099895.1|Gm28153,0,0,3,7,3,0
ENSMUSG00000100204.1|Gm4849,58,37,41,35,43,48
ENSMUSG00000041872.9|Il17f,17,0,0,0,0,17
ENSMUSG00000089787.2|Gm15825,0,0,3,0,0,0
ENSMUSG00000042596.7|Tfap2d,0,0,0,0,0,0
ENSMUSG00000100720.1|Gm10075,3080,2803,2349,3852,2414,3180
ENSMUSG00000025927.13|Tfap2b,2095,3099,8733,4826,1257,3566
ENSMUSG00000043760.16|Pkhd1,0,0,5,0,0,0
ENSMUSG00000104095.1|Gm37315,0,0,0,0,0,0
ENSMUSG00000089914.2|4930486I03Rik,0,0,0,0,0,0
ENSMUSG00000070175.1|Gm24162,0,0,0,0,0,0
ENSMUSG00000090142.2|Gm15795,24,29,26,18,25,16
ENSMUSG00000100819.1|Gm2693,5,4,3,4,0,0
ENSMUSG00000041809.5|Efhc1,162,175,372,120,86,85
ENSMUSG00000096375.2|Gm7094,0,0,0,9,0,0
ENSMUSG00000077314.1|Gm24171,0,0,0,0,0,0
ENSMUSG00000025931.15|Paqr8,99,232,602,478,334,651
ENSMUSG00000097934.1|6720483E21Rik,16,16,36,20,8,30
ENSMUSG00000025934.15|Gsta3,8,16,93,31,0,48
ENSMUSG00000099343.1|Gm28836,0,0,0,0,0,0
ENSMUSG00000025933.15|Tmem14a,268,433,574,494,346,414
ENSMUSG00000102633.1|Gm38224,4,1,0,3,0,1
ENSMUSG00000041779.5|Tram2,591,517,646,636,391,467
ENSMUSG00000101227.1|Gm29506,0,0,0,0,0,0
ENSMUSG00000073730.2|Ppp1r14bl,1,0,0,1,1,1
ENSMUSG00000097920.1|Gm7784,3,6,3,2,3,4
ENSMUSG00000026158.11|Ogfrl1,1021,682,989,777,783,888
ENSMUSG00000028033.16|Kcnq5,11,28,94,52,115,69
ENSMUSG00000104138.1|Gm36949,0,0,0,0,15,0
ENSMUSG00000103748.1|Gm38243,0,8,18,6,0,0
ENSMUSG00000082935.3|Gm7658,863,739,482,575,517,615
ENSMUSG00000026156.8|B3gat2,619,308,450,542,339,313
ENSMUSG00000026155.13|Smap1,5844,5026,5362,5563,4584,5013
ENSMUSG00000102495.1|Gm26524,0,0,2,0,0,0
ENSMUSG00000026154.4|Sdhaf4,2601,2707,2707,2967,2329,2698
ENSMUSG00000102398.1|Gm37580,17,0,6,8,0,0
ENSMUSG00000041859.10|Mcm3,42335,34714,41915,45549,38622,52727
