gene_id,RNASEQ_ect_sp6_KO_rep1,RNASEQ_ect_sp6_KO_rep2,RNASEQ_ect_sp6_KO_rep3,RNASEQ_ect_sp6_WT_rep1,RNASEQ_ect_sp6_WT_rep2,RNASEQ_ect_sp6_WT_rep3
ENSMUSG00000025902.13|Sox17,21,0,15,0,0,0
ENSMUSG00000102343.1|Gm37381,14,0,0,5,0,0
ENSMUSG00000102851.1|Gm18956,0,0,0,0,0,0
ENSMUSG00000103377.1|Gm37180,0,0,0,0,0,0
ENSMUSG00000104017.1|Gm37363,0,0,0,0,0,0
ENSMUSG00000103025.1|Gm37686,0,0,0,0,0,0
ENSMUSG00000089699.1|Gm1992,0,0,0,0,0,0
ENSMUSG00000103201.1|Gm37329,0,0,0,0,0,0
ENSMUSG00000103147.1|Gm7341,0,3,4,5,4,7
ENSMUSG00000103161.1|Gm38148,0,0,0,0,0,0
ENSMUSG00000102331.1|Gm19938,0,0,3,0,0,0
ENSMUSG00000051951.5|Xkr4,7,3,16,27,28,15
ENSMUSG00000033774.4|Npbwr1,15,116,36,30,18,35
ENSMUSG00000025905.14|Oprk1,83,104,145,88,8,107
ENSMUSG00000102135.1|Gm37108,0,0,0,0,13,0
ENSMUSG00000103845.1|Gm19026,90,5,43,29,33,20
ENSMUSG00000087247.3|Alkal1,0,0,0,0,0,0
ENSMUSG00000102706.1|Gm7417,0,0,0,0,0,0
ENSMUSG00000103355.1|Gm2147,6,3,7,2,0,10
ENSMUSG00000090031.2|4732440D04Rik,33,82,157,31,67,151
ENSMUSG00000025907.14|Rb1cc1,2252,5855,5407,4929,4245,4036
ENSMUSG00000097797.6|Gm26901,17,45,50,44,52,34
ENSMUSG00000048538.7|Gm9826,352,439,647,404,264,320
ENSMUSG00000002459.17|Rgs20,5,16,13,0,9,11
ENSMUSG00000091305.1|Gm17100,0,0,0,0,0,0
ENSMUSG00000102653.1|Gm37079,0,0,0,0,0,0
ENSMUSG00000085623.1|Gm16041,0,0,0,0,0,0
ENSMUSG00000091665.1|Gm17101,0,0,0,0,0,0
ENSMUSG00000033793.12|Atp6v1h,5974,8091,7955,7372,7065,6581
ENSMUSG00000098201.1|Gm26983,0,0,0,0,0,0
ENSMUSG00000103509.1|Gm38372,0,40,0,0,0,4
ENSMUSG00000051285.17|Pcmtd1,1314,2836,2420,2286,2049,1718
ENSMUSG00000088000.1|Gm25493,0,0,0,0,0,0
ENSMUSG00000104217.1|Gm37988,0,5,5,5,3,2
ENSMUSG00000025903.14|Lypla1,16325,17835,23606,21648,22931,16799
ENSMUSG00000098104.1|Gm6085,129,144,152,151,135,104
ENSMUSG00000102175.1|Gm6119,10,8,0,0,0,0
ENSMUSG00000103265.1|Gm2053,1,0,0,0,0,0
ENSMUSG00000103922.1|Gm6123,28,48,52,34,52,66
ENSMUSG00000033845.13|Mrpl15,9251,10423,9733,8900,8260,7417
ENSMUSG00000102275.1|Gm37144,3,4,1,1,4,1
ENSMUSG00000033813.15|Tcea1,12031,16027,17972,16219,13933,13476
ENSMUSG00000062588.4|Gm6104,1540,1631,1704,1511,1557,1338
ENSMUSG00000103067.1|Gm30414,3,0,0,14,13,18
ENSMUSG00000061024.8|Rrs1,8199,14208,12926,11645,9616,9080
ENSMUSG00000025912.16|Mybl1,55,46,57,71,34,55
ENSMUSG00000079671.8|2610203C22Rik,0,0,0,0,0,0
ENSMUSG00000067879.3|Vxn,0,0,0,0,0,0
ENSMUSG00000025911.14|Adhfe1,34,59,61,25,18,89
ENSMUSG00000081441.3|Gm6161,614,1159,1036,1061,846,917
ENSMUSG00000025909.16|Sntg1,0,0,0,0,0,0
ENSMUSG00000102647.1|Gm38024,0,0,0,0,0,0
ENSMUSG00000102253.1|Gm38259,0,0,0,0,0,0
ENSMUSG00000093970.1|Gm23358,0,0,0,0,0,0
ENSMUSG00000103884.1|Gm37005,0,0,0,0,0,0
ENSMUSG00000086195.1|Gm6152,0,0,0,0,0,0
ENSMUSG00000104504.1|Gm7445,0,0,0,0,0,0
ENSMUSG00000102316.1|Gm37629,0,0,0,0,0,0
ENSMUSG00000103819.1|Gm38008,0,0,0,0,0,0
ENSMUSG00000102871.1|Gm37143,0,0,6,0,0,0
ENSMUSG00000086235.1|Gm16284,3,0,0,0,0,3
ENSMUSG00000084353.1|Gm15452,99,69,66,83,68,59
ENSMUSG00000103933.1|Gm36964,1,3,2,1,6,1
