gene_id,RNASEQ_ect_sp8_WT_rep1,RNASEQ_ect_sp8_WT_rep2,RNASEQ_ect_sp8_WT_rep3,RNASEQ_ect_sp8_KO_rep1,RNASEQ_ect_sp8_KO_rep2,RNASEQ_ect_sp8_KO_rep3
ENSMUSG00000025902.13|Sox17,0,0,0,5,0,0
ENSMUSG00000102269.1|Gm7357,10,27,10,15,5,13
ENSMUSG00000102735.1|Gm7369,2,3,1,1,1,1
ENSMUSG00000098104.1|Gm6085,19,19,45,16,19,39
ENSMUSG00000102175.1|Gm6119,4,8,4,6,44,5
ENSMUSG00000103265.1|Gm2053,11,29,12,4,13,5
ENSMUSG00000102343.1|Gm37381,6,0,0,0,0,0
ENSMUSG00000025900.13|Rp1,0,0,0,0,0,0
ENSMUSG00000102948.1|Gm6101,0,0,0,0,0,0
ENSMUSG00000104123.1|Gm37483,0,0,0,0,0,0
ENSMUSG00000102851.1|Gm18956,0,0,2,3,0,0
ENSMUSG00000103377.1|Gm37180,0,8,13,11,9,6
ENSMUSG00000103025.1|Gm37686,0,2,0,0,6,0
ENSMUSG00000089699.1|Gm1992,0,0,0,0,0,0
ENSMUSG00000103201.1|Gm37329,0,5,2,3,3,4
ENSMUSG00000051951.5|Xkr4,55,37,32,49,38,78
ENSMUSG00000104017.1|Gm37363,2,11,11,24,14,4
ENSMUSG00000103147.1|Gm7341,10,7,7,2,5,12
ENSMUSG00000103161.1|Gm38148,19,0,7,19,9,11
ENSMUSG00000102331.1|Gm19938,48,14,18,108,53,64
ENSMUSG00000103922.1|Gm6123,147,91,132,102,142,144
ENSMUSG00000033845.13|Mrpl15,2289,2061,2274,1531,1763,2027
ENSMUSG00000102275.1|Gm37144,48,19,80,34,35,36
ENSMUSG00000103280.1|Gm37277,51,58,56,69,57,53
ENSMUSG00000104352.1|Gm7182,0,0,0,0,0,0
ENSMUSG00000104046.1|Gm37567,6,2,3,1,4,3
ENSMUSG00000025905.14|Oprk1,176,98,95,249,224,196
ENSMUSG00000002459.17|Rgs20,23,14,14,28,39,32
ENSMUSG00000091305.1|Gm17100,0,0,0,0,2,0
ENSMUSG00000085623.1|Gm16041,0,0,0,0,0,5
ENSMUSG00000091665.1|Gm17101,0,0,0,0,0,0
ENSMUSG00000033793.12|Atp6v1h,1012,1069,1094,691,932,1028
ENSMUSG00000102653.1|Gm37079,1,0,0,1,0,0
ENSMUSG00000033774.4|Npbwr1,38,123,60,40,52,15
ENSMUSG00000104217.1|Gm37988,0,13,0,0,38,26
ENSMUSG00000025903.14|Lypla1,4895,4266,4926,3948,4010,4469
ENSMUSG00000033813.15|Tcea1,8681,7922,8136,6267,7259,8632
ENSMUSG00000062588.4|Gm6104,348,258,286,204,365,395
ENSMUSG00000087247.3|Alkal1,0,0,0,0,0,0
ENSMUSG00000102706.1|Gm7417,0,0,0,1,0,0
ENSMUSG00000103355.1|Gm2147,12,12,17,16,13,13
ENSMUSG00000103845.1|Gm19026,159,113,163,143,154,113
ENSMUSG00000104385.1|Gm7449,2,3,1,1,1,1
ENSMUSG00000102534.1|Gm37225,1,0,0,0,0,0
ENSMUSG00000102135.1|Gm37108,123,97,113,91,94,123
ENSMUSG00000033740.17|St18,0,0,0,0,0,0
ENSMUSG00000090031.2|4732440D04Rik,301,247,301,265,396,340
ENSMUSG00000025907.14|Rb1cc1,7562,6734,7358,6212,7962,8397
ENSMUSG00000048538.7|Gm9826,347,333,312,285,268,276
ENSMUSG00000097797.6|Gm26901,36,6,19,14,10,22
ENSMUSG00000051285.17|Pcmtd1,3970,3593,4391,3257,4577,4040
ENSMUSG00000098201.1|Gm26983,51,31,55,45,44,50
ENSMUSG00000103509.1|Gm38372,981,1017,1002,1041,1454,999
ENSMUSG00000102320.1|Gm37791,1,1,1,1,1,0
ENSMUSG00000104226.1|Gm7470,4,0,4,3,3,2
ENSMUSG00000103903.1|Rps2-ps2,16,15,20,15,10,15
ENSMUSG00000101571.2|Gm6187,0,4,0,3,3,4
ENSMUSG00000102272.1|Gm7512,5,4,4,3,6,0
ENSMUSG00000103411.1|Gm18300,0,0,9,0,12,4
ENSMUSG00000061024.8|Rrs1,2156,1905,2165,1246,1410,1613
ENSMUSG00000025909.16|Sntg1,0,0,0,0,0,0
ENSMUSG00000102647.1|Gm38024,0,0,0,0,0,0
ENSMUSG00000102253.1|Gm38259,0,0,0,0,0,0
ENSMUSG00000093970.1|Gm23358,0,0,0,0,0,0
ENSMUSG00000103884.1|Gm37005,0,0,0,0,0,0
ENSMUSG00000086195.1|Gm6152,0,0,1,0,0,0
ENSMUSG00000104504.1|Gm7445,0,0,0,0,0,0
ENSMUSG00000102316.1|Gm37629,0,0,0,0,0,1
ENSMUSG00000103819.1|Gm38008,0,0,0,0,0,0
ENSMUSG00000102871.1|Gm37143,0,0,0,0,0,0
ENSMUSG00000086235.1|Gm16284,11,1,5,4,5,9
ENSMUSG00000084353.1|Gm15452,135,119,114,145,152,134
ENSMUSG00000103933.1|Gm36964,46,41,39,35,41,38
ENSMUSG00000076135.1|Gm24276,19,16,16,16,16,14
ENSMUSG00000066693.2|Gm7493,29,28,41,21,25,23
ENSMUSG00000079671.8|2610203C22Rik,12,2,7,6,0,6
ENSMUSG00000067879.3|Vxn,0,0,0,0,0,0
ENSMUSG00000025911.14|Adhfe1,28,22,15,36,34,31
ENSMUSG00000081441.3|Gm6161,2432,2122,2386,1662,2027,2265
ENSMUSG00000097893.8|1700034P13Rik,29,15,31,16,13,17
ENSMUSG00000025912.16|Mybl1,726,750,867,540,821,721
ENSMUSG00000045210.8|Vcpip1,6109,5953,6476,4902,6092,6542
ENSMUSG00000099032.2|Tcf24,28,24,3,7,0,11
ENSMUSG00000104025.1|E330040D14Rik,0,0,0,0,0,0
ENSMUSG00000025916.10|Ppp1r42,0,0,0,0,0,3
