# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr11_70233509_70233695	Bcl6b (-3863)
chr12_18779208_18779368	5730507C01Rik (+264778)
chr12_20758160_20758346	Asap2 (-353495), Gm10479 (+342315)
chr12_23113864_23114139	Gm10330 (+666263)
chr12_46950179_46950592	Nova1 (-131457)
chr13_24770344_24770562	BC005537 (-31204), Gmnn (-8592)
chr13_66727181_66727363	2410141K09Rik (-286194), Gm10767 (-177642)
chr13_68094291_68094684	BC048507 (+231162), Mtrr (+487616)
chr13_97607184_97607399	Gm10260 (+153340), Enc1 (+366187)
chr14_55799079_55799290	Nfatc4 (-25610), Ripk3 (-10328)
chr14_27684364_27684807	Wnt5a (-820164), Erc2 (+62144)
chr14_73187542_73187803	Lpar6 (-50222), Rcbtb2 (+45136)
chr14_85953388_85953560	NONE
chr14_95614555_95614615	4921530L21Rik (-266681)
chr14_96351328_96351479	Klhl1 (+167698), 4921530L21Rik (+470138)
chr14_100683895_100684286	Klf12 (-534327), Prr30 (+516239)
chr14_124668357_124668485	Fgf14 (+8706)
chr16_94785693_94786012	Kcnj6 (+211843), Dyrk1a (+215843)
chr15_22700361_22700557	Cdh18 (-336004)
chr17_14074483_14074854	Gm7356 (-72904), Dact2 (+129162)
chr15_39126973_39127198	Rims2 (-71277), Dcaf13 (+14221)
chr17_17064002_17064191	Zfp960 (-16)
chr17_38001967_38002108	Olfr761 (-48959), Olfr129 (+58041)
chr15_85890308_85890476	Trmu (+11072), Celsr1 (+143385)
chr19_13138001_13138238	Olfr1458 (-31345), Olfr1459 (+11412)
chr19_18099706_18099893	Pcsk5 (-262168), Ostf1 (+531989)
chr2_172623672_172624157	Tfap2c (+72924), Bmp7 (+316406)
chr15_103546326_103546579	Ppp1r1a (-8461), Glycam1 (+18625)
chr4_88779584_88779910	Ifnz (-2384), Gm13272 (-103)
chr16_8502419_8502744	Abat (-10847), Mettl22 (+31794)
chr3_4162631_4162909	Hnf4g (+654740)
chr18_14103246_14103408	Gm5160 (-321541), Zfp521 (-130594)
chr18_18828917_18829230	NONE
chr16_23162433_23162572	St6gal1 (-62237), Adipoq (+15967)
chr16_25794750_25794906	Trp63 (+111063), P3h2 (+310956)
chr16_28292918_28293051	Fgf12 (+152242), Ccdc50 (+904116)
chr5_134255161_134255557	Ncf1 (-25734), Gtf2i (+59401)
chr2_26841918_26842257	Lcn4 (-170806), Abo (+22891)
chr1_9827915_9828152	Mcmdc2 (-80604), Sgk3 (+29891)
chr3_63989240_63989459	Vmn2r1 (-92292), Gmps (+13244)
chr7_7082102_7082277	Zfp954 (+39298), Aurkc (+86807)
chr5_146481093_146481261	Gm6408 (-788)
chr5_146484019_146484218	Gm6370 (-7244), Gm6408 (+2154)
chr5_148548376_148548577	Slc7a1 (-148573), Ubl3 (+4185)
chr2_54646905_54647086	Kcnj3 (-788974), Galnt13 (+210609)
chr8_75080491_75080722	Hmox1 (-13014), Tom1 (+46870)
chr8_76922501_76922649	Nr3c2 (+22803), Arhgap10 (+595378)
chr3_93699660_93700092	Gm5773 (-73124), Gm37596 (-6806)
chr5_150068254_150068729	Fry (-191275), Rxfp2 (+49817)
chr18_67483759_67484239	Prelid3a (+19150), Spire1 (+68722)
chr9_123177526_123177827	Clec3b (+26731), Cdcp1 (+38361)
chr3_115638461_115638620	S1pr1 (+76531), Olfm3 (+557576)
chrY_4420889_4421043	Gm20918 (-622971), Gm3376 (+649293)
chrY_5027439_5027593	Gm20918 (-16421)
chr8_93933077_93933272	Amfr (+79667), Gnao1 (+121862)
chrY_5048100_5048297	Gm21854 (-608787), Gm20918 (+4262)
chrY_5245840_5246100	Gm21854 (-411016), Gm20918 (+202033)
chrY_5265783_5266170	Gm21854 (-391009), Gm20918 (+222040)
chrY_5266553_5266758	Gm21854 (-390330), Gm20918 (+222719)
chrY_5275347_5275736	Gm21854 (-381444), Gm20918 (+231605)
chr6_36388037_36388580	Chrm2 (+225)
chrY_5583251_5583545	Gm21854 (-73588), Gm20918 (+539461)
chrY_5679687_5679855	Gm20914 (-46207), Gm21854 (+22785)
chrY_5687407_5687636	Gm20914 (-38456), Gm21854 (+30536)
chrY_5738914_5739188	Gm28171 (-54344), Gm20914 (+13073)
chr7_38387824_38388069	Pop4 (-116524), Gm5591 (+140246)
chr7_39190376_39190925	Gm5591 (-662458), Gm5114 (+222509)
