# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	10521	Dlx2	1	5.457570e-10	1.167647e-5	1.167647e-5	4.264232e+1	1.641562e-1	7	9.549515e-5	4.072135e-3	1	1.072681e-1	1.000000e+0	1.000000e+0	9.322440e+0	1.072681e-1	1	1	4.357298e-4	1.000000e+0	chr2_71533554_71533984,chr2_71535847_71536645,chr2_71540844_71541537,chr2_71541599_71541654,chr2_71544140_71544695,chr2_71582260_71582367,chr2_71718970_71719451	Dlx2
Ensembl Genes	1718	Midn	2	1.057525e-9	2.262575e-5	1.131287e-5	3.158334e+2	1.266491e-2	4	7.367600e-6	2.326934e-3	1	1.072681e-1	1.000000e+0	1.000000e+0	9.322440e+0	1.072681e-1	1	1	4.357298e-4	1.000000e+0	chr10_80150584_80151061,chr10_80159656_80159839,chr10_80159901_80160017,chr10_80160869_80160962	Midn
Ensembl Genes	1719	Cirbp	2	1.057525e-9	2.262575e-5	1.131287e-5	3.158334e+2	1.266491e-2	4	7.367600e-6	2.326934e-3	1	1.072681e-1	1.000000e+0	1.000000e+0	9.322440e+0	1.072681e-1	1	1	4.357298e-4	1.000000e+0	chr10_80150584_80151061,chr10_80159656_80159839,chr10_80159901_80160017,chr10_80160869_80160962	Cirbp
Ensembl Genes	10520	Dlx1	4	5.829712e-9	1.247267e-4	3.118167e-5	8.418115e+1	5.939572e-2	5	3.455248e-5	2.908668e-3	1	1.072681e-1	1.000000e+0	1.000000e+0	9.322440e+0	1.072681e-1	1	1	4.357298e-4	1.000000e+0	chr2_71533554_71533984,chr2_71535847_71536645,chr2_71540844_71541537,chr2_71541599_71541654,chr2_71544140_71544695	Dlx1
Ensembl Genes	5515	Zfp503	5	9.405535e-8	2.012314e-3	4.024628e-4	4.791026e+1	1.043618e-1	5	6.071075e-5	2.908668e-3	1	1.072681e-1	1.000000e+0	1.000000e+0	9.322440e+0	1.072681e-1	1	1	4.357298e-4	1.000000e+0	chr14_21892080_21892359,chr14_21984220_21985662,chr14_21985728_21986076,chr14_21991067_21991915,chr14_21995188_21995826	Zfp503
Ensembl Genes	3793	Bahcc1	6	2.203538e-7	4.714470e-3	7.857449e-4	4.027703e+1	1.241402e-1	5	7.221653e-5	2.908668e-3	1	1.072681e-1	1.000000e+0	1.000000e+0	9.322440e+0	1.072681e-1	1	1	4.357298e-4	1.000000e+0	chr11_120187030_120188590,chr11_120235890_120236076,chr11_120236220_120236894,chr11_120237033_120237185,chr11_120237448_120238459	Bahcc1
Ensembl Genes	3794	Actg1	7	1.563980e-6	3.346135e-2	4.780193e-3	5.025530e+1	7.959360e-2	4	4.630227e-5	2.326934e-3	1	1.072681e-1	1.000000e+0	1.000000e+0	9.322440e+0	1.072681e-1	1	1	4.357298e-4	1.000000e+0	chr11_120235890_120236076,chr11_120236220_120236894,chr11_120237033_120237185,chr11_120237448_120238459	Actg1
Ensembl Genes	17424	Dkkl1	8	1.098055e-5	2.349289e-1	2.936611e-2	4.259885e+2	4.694962e-3	2	2.731217e-6	1.163467e-3	1	1.072681e-1	1.000000e+0	1.000000e+0	9.322440e+0	1.072681e-1	1	1	4.357298e-4	1.000000e+0	chr7_45215568_45215982,chr7_45216435_45216998	Dkkl1
Ensembl Genes	11684	4930470P17Rik	9	1.399970e-5	2.995236e-1	3.328040e-2	2.871132e+1	1.393179e-1	4	8.104587e-5	2.326934e-3	1	1.072681e-1	1.000000e+0	1.000000e+0	9.322440e+0	1.072681e-1	1	1	4.357298e-4	1.000000e+0	chr2_170533984_170534641,chr2_170538308_170538530,chr2_170690348_170690724,chr2_170708937_170709497	4930470P17Rik
Ensembl Genes	15888	Tcf7l1	10	3.763944e-5	8.052958e-1	8.052958e-2	2.224229e+1	1.798376e-1	4	1.046176e-4	2.326934e-3	1	1.072681e-1	1.000000e+0	1.000000e+0	9.322440e+0	1.072681e-1	1	1	4.357298e-4	1.000000e+0	chr6_72709163_72709376,chr6_72755043_72755534,chr6_72763575_72764164,chr6_72806981_72807046	Tcf7l1
Ensembl Genes	7188	Ranbp1	11	3.871284e-5	8.282612e-1	7.529647e-2	2.265610e+2	8.827645e-3	2	5.135338e-6	1.163467e-3	1	1.072681e-1	1.000000e+0	1.000000e+0	9.322440e+0	1.072681e-1	1	1	4.357298e-4	1.000000e+0	chr16_18248481_18248536,chr16_18248602_18248921	Ranbp1
Ensembl Genes	5551	Wnt5a	12	4.370528e-5	9.350745e-1	7.792287e-2	7.757515e+0	9.023508e-1	7	5.249277e-4	4.072135e-3	1	1.072681e-1	1.000000e+0	1.000000e+0	9.322440e+0	1.072681e-1	1	1	4.357298e-4	1.000000e+0	chr14_28089821_28090257,chr14_28466082_28466435,chr14_28484119_28484533,chr14_28505440_28505976,chr14_28506691_28506994,chr14_28511067_28511274,chr14_28972936_28973118	Wnt5a
Ensembl Genes	18268	Maz	13	5.368451e-5	1.000000e+0	8.835231e-2	1.922918e+2	1.040086e-2	2	6.050528e-6	1.163467e-3	1	1.072681e-1	1.000000e+0	1.000000e+0	9.322440e+0	1.072681e-1	1	1	4.357298e-4	1.000000e+0	chr7_127026197_127026390,chr7_127026794_127027001	Maz
