# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included																					
# Ontology summary statistics are provided in the footer.																							
#																							
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	21794	Gm21778	1	1.87E-28	4.00E-24	4.00E-24	9.95E+01	1.71E-01	17	1.77E-04	1.76E-02	1	6.52E-02	1.00E+00	1.00E+00	1.53E+01	6.52E-02	1	1	7.17E-04	1.00E+00	chrY_5876544_5876957,chrY_5915807_5915998,chrY_5919560_5919816,chrY_5933374_5933597,chrY_5937116_5937514,chrY_5962099_5962260,chrY_5979018_5979212,chrY_6003709_6003974,chrY_6004935_6005236,chrY_6024394_6024695,chrY_6028609_6028868,chrY_6067861_6068266,chrY_6109372_6109563,chrY_6113207_6113633,chrY_6162657_6162884,chrY_6237235_6237772,chrY_6246466_6246704	Gm21778
Ensembl Genes	21796	Gm20873	2	2.39E-24	5.12E-20	2.56E-20	6.90E+01	2.32E-01	16	2.40E-04	1.65E-02	1	6.52E-02	1.00E+00	1.00E+00	1.53E+01	6.52E-02	1	1	7.17E-04	1.00E+00	chrY_5962099_5962260,chrY_5979018_5979212,chrY_6003709_6003974,chrY_6004935_6005236,chrY_6024394_6024695,chrY_6028609_6028868,chrY_6067861_6068266,chrY_6109372_6109563,chrY_6113207_6113633,chrY_6162657_6162884,chrY_6237235_6237772,chrY_6246466_6246704,chrY_6326847_6327080,chrY_6392774_6392984,chrY_6492824_6493010,chrY_6524057_6524338	Gm20873
Ensembl Genes	21816	Gm28510	3	5.80E-23	1.24E-18	4.14E-19	1.60E+02	7.50E-02	12	7.76E-05	1.24E-02	1	6.52E-02	1.00E+00	1.00E+00	1.53E+01	6.52E-02	1	1	7.17E-04	1.00E+00	chrY_10348541_10348758,chrY_10359034_10359539,chrY_10366364_10366721,chrY_10367885_10368050,chrY_10386074_10386255,chrY_10397833_10398372,chrY_10420937_10421925,chrY_10422234_10422504,chrY_10434438_10434744,chrY_10479394_10479664,chrY_10511371_10511696,chrY_10519052_10519245	Gm28510
Ensembl Genes	21809	Gm21292	4	3.71E-16	7.94E-12	1.99E-12	7.58E+01	1.32E-01	10	1.36E-04	1.03E-02	1	6.52E-02	1.00E+00	1.00E+00	1.53E+01	6.52E-02	1	1	7.17E-04	1.00E+00	chrY_8999768_9000082,chrY_9059528_9059720,chrY_9059854_9060003,chrY_9098267_9098505,chrY_9099492_9100132,chrY_9117453_9117633,chrY_9131730_9131915,chrY_9180317_9180448,chrY_9189764_9189988,chrY_9197423_9197885	Gm21292
Ensembl Genes	21798	Gm21719	5	1.03E-12	2.20E-08	4.41E-09	6.58E+01	1.22E-01	8	1.26E-04	8.27E-03	1	6.52E-02	1.00E+00	1.00E+00	1.53E+01	6.52E-02	1	1	7.17E-04	1.00E+00	chrY_6717575_6717903,chrY_6735364_6735968,chrY_6745282_6745453,chrY_6753256_6754180,chrY_6755191_6755750,chrY_6755952_6756171,chrY_6842180_6842367,chrY_6857146_6857473	Gm21719
Ensembl Genes	21793	Gm28171	6	2.88E-12	6.17E-08	1.03E-08	9.11E+01	7.69E-02	7	7.95E-05	7.24E-03	1	6.52E-02	1.00E+00	1.00E+00	1.53E+01	6.52E-02	1	1	7.17E-04	1.00E+00	chrY_5738914_5739188,chrY_5754871_5755110,chrY_5876544_5876957,chrY_5915807_5915998,chrY_5919560_5919816,chrY_5933374_5933597,chrY_5937116_5937514	Gm28171
Ensembl Genes	21815	Gm20834	7	1.11E-11	2.36E-07	3.38E-08	7.50E+01	9.33E-02	7	9.65E-05	7.24E-03	1	6.52E-02	1.00E+00	1.00E+00	1.53E+01	6.52E-02	1	1	7.17E-04	1.00E+00	chrY_10229404_10229609,chrY_10348541_10348758,chrY_10359034_10359539,chrY_10366364_10366721,chrY_10367885_10368050,chrY_10386074_10386255,chrY_10397833_10398372	Gm20834
Ensembl Genes	21799	Gm20830	8	1.86E-11	3.97E-07	4.96E-08	4.56E+01	1.75E-01	8	1.81E-04	8.27E-03	1	6.52E-02	1.00E+00	1.00E+00	1.53E+01	6.52E-02	1	1	7.17E-04	1.00E+00	chrY_6717575_6717903,chrY_6735364_6735968,chrY_6745282_6745453,chrY_6753256_6754180,chrY_6755191_6755750,chrY_6755952_6756171,chrY_6842180_6842367,chrY_6857146_6857473	Gm20830
Ensembl Genes	21817	Gm20737	9	7.58E-11	1.62E-06	1.80E-07	5.67E+01	1.23E-01	7	1.28E-04	7.24E-03	1	6.52E-02	1.00E+00	1.00E+00	1.53E+01	6.52E-02	1	1	7.17E-04	1.00E+00	chrY_10420937_10421925,chrY_10422234_10422504,chrY_10434438_10434744,chrY_10479394_10479664,chrY_10511371_10511696,chrY_10519052_10519245,chrY_10614702_10614963	Gm20737
Ensembl Genes	21810	Gm21721	10	2.51E-10	5.37E-06	5.37E-07	7.87E+01	7.62E-02	6	7.88E-05	6.20E-03	1	6.52E-02	1.00E+00	1.00E+00	1.53E+01	6.52E-02	1	1	7.17E-04	1.00E+00	chrY_9180317_9180448,chrY_9189764_9189988,chrY_9197423_9197885,chrY_9290079_9290252,chrY_9290664_9290821,chrY_9329924_9330411	Gm21721
