# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr11_19013189_19016384	Meis1 (+4182)
chr11_96352608_96353722	Hoxb1 (-12587), Hoxb2 (+1534)
chr11_97021142_97022564	Scrn2 (-8085), Sp6 (+3120)
chr11_120185421_120186196	Bahcc1 (-47138), Slc38a10 (-34463)
chr11_120186364_120189507	Bahcc1 (-45011), Slc38a10 (-36590)
chr11_120233701_120234326	Bahcc1 (+1067), Actg1 (+114528)
chr11_120234641_120239072	Bahcc1 (+3910), Actg1 (+111685)
chr12_16589553_16589895	Lpin1 (+46)
chr12_112170739_112171035	Kif26a (+24679), Tmem179 (+340285)
chr12_112877453_112878626	Gpr132 (-17088), Jag2 (+51736)
chr12_118847345_118851217	Sp8 (+2952), Abcb5 (+117140)
chr13_28951143_28951218	Sox4 (+2532), Prl5a1 (+808697)
chr13_28951284_28951445	Sox4 (+2348), Prl5a1 (+808881)
chr13_40727364_40730800	Ofcc1 (-441071), Tfap2a (+4741)
chr13_53471407_53472168	Sptlc1 (-94391), Msx2 (+1286)
chr13_53472644_53473247	Msx2 (+128)
chr13_63563733_63564766	Fancc (-132525), Ptch1 (+1485)
chr14_28505440_28505976	Wnt5a (+958)
chr14_28506691_28506994	Lrtm1 (-511365), Wnt5a (+2093)
chr14_28511067_28511274	Lrtm1 (-507037), Wnt5a (+6421)
chr14_46387358_46388080	Bmp4 (+2950), Gm15217 (+8252)
chr14_21983737_21986878	Comtd1 (-136331), Zfp503 (+4293)
chr14_21991067_21991915	Zfp503 (-1890)
chr18_69344028_69345481	Tcf4 (+266)
chr18_69346419_69346796	Ccdc68 (-578858), Tcf4 (+2119)
chr17_34121048_34121446	Brd2 (+500)
chr15_89174182_89175604	Plxnb2 (-4205)
chr2_172937423_172938185	Bmp7 (+2517), Tfap2c (+386813)
chr17_84184827_84185319	Haao (-338283), Zfp36l2 (+2874)
chr17_84185404_84187216	Haao (-339520), Zfp36l2 (+1637)
