# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	21794	Gm21778	1	7.763230e-30	1.660943e-25	1.660943e-25	1.199904e+2	1.416780e-1	17	1.766558e-4	2.119701e-2	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_5876544_5876957,chrY_5915807_5915998,chrY_5919560_5919816,chrY_5933374_5933597,chrY_5937116_5937514,chrY_5962099_5962260,chrY_5979018_5979212,chrY_6003709_6003974,chrY_6004935_6005236,chrY_6024394_6024695,chrY_6028609_6028868,chrY_6067861_6068266,chrY_6109372_6109563,chrY_6113207_6113633,chrY_6162657_6162884,chrY_6237235_6237772,chrY_6246466_6246704	Gm21778
Ensembl Genes	21796	Gm20873	2	1.212161e-25	2.593418e-21	1.296709e-21	8.316780e+1	1.923821e-1	16	2.398780e-4	1.995012e-2	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_5962099_5962260,chrY_5979018_5979212,chrY_6003709_6003974,chrY_6004935_6005236,chrY_6024394_6024695,chrY_6028609_6028868,chrY_6067861_6068266,chrY_6109372_6109563,chrY_6113207_6113633,chrY_6162657_6162884,chrY_6237235_6237772,chrY_6246466_6246704,chrY_6326847_6327080,chrY_6392774_6392984,chrY_6492824_6493010,chrY_6524057_6524338	Gm20873
Ensembl Genes	21816	Gm28510	3	6.133582e-24	1.312280e-19	4.374266e-20	1.928131e+2	6.223643e-2	12	7.760154e-5	1.496259e-2	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_10348541_10348758,chrY_10359034_10359539,chrY_10366364_10366721,chrY_10367885_10368050,chrY_10386074_10386255,chrY_10397833_10398372,chrY_10420937_10421925,chrY_10422234_10422504,chrY_10434438_10434744,chrY_10479394_10479664,chrY_10511371_10511696,chrY_10519052_10519245	Gm28510
Ensembl Genes	21809	Gm21292	4	5.348200e-15	1.144247e-10	2.860618e-11	8.229583e+1	1.093616e-1	9	1.363610e-4	1.122195e-2	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_8999768_9000082,chrY_9059528_9059720,chrY_9059854_9060003,chrY_9098267_9098505,chrY_9099492_9100132,chrY_9117453_9117633,chrY_9180317_9180448,chrY_9189764_9189988,chrY_9197423_9197885	Gm21292
Ensembl Genes	21798	Gm21719	5	2.334711e-13	4.995114e-9	9.990228e-10	7.937005e+1	1.007937e-1	8	1.256779e-4	9.975062e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_6717575_6717903,chrY_6735364_6735968,chrY_6745282_6745453,chrY_6753256_6754180,chrY_6755191_6755750,chrY_6755952_6756171,chrY_6842180_6842367,chrY_6857146_6857473	Gm21719
Ensembl Genes	21793	Gm28171	6	7.834098e-13	1.676105e-8	2.793509e-9	1.097870e+2	6.375983e-2	7	7.950104e-5	8.728180e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_5738914_5739188,chrY_5754871_5755110,chrY_5876544_5876957,chrY_5915807_5915998,chrY_5919560_5919816,chrY_5933374_5933597,chrY_5937116_5937514	Gm28171
Ensembl Genes	21815	Gm20834	7	3.011014e-12	6.442064e-8	9.202949e-9	9.042424e+1	7.741287e-2	7	9.652478e-5	8.728180e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_10229404_10229609,chrY_10348541_10348758,chrY_10359034_10359539,chrY_10366364_10366721,chrY_10367885_10368050,chrY_10386074_10386255,chrY_10397833_10398372	Gm20834
Ensembl Genes	21799	Gm20830	8	4.239584e-12	9.070590e-8	1.133824e-8	5.497127e+1	1.455306e-1	8	1.814595e-4	9.975062e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_6717575_6717903,chrY_6735364_6735968,chrY_6745282_6745453,chrY_6753256_6754180,chrY_6755191_6755750,chrY_6755952_6756171,chrY_6842180_6842367,chrY_6857146_6857473	Gm20830
Ensembl Genes	21817	Gm20737	9	2.074077e-11	4.437488e-7	4.930542e-8	6.842531e+1	1.023013e-1	7	1.275578e-4	8.728180e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_10420937_10421925,chrY_10422234_10422504,chrY_10434438_10434744,chrY_10479394_10479664,chrY_10511371_10511696,chrY_10519052_10519245,chrY_10614702_10614963	Gm20737
Ensembl Genes	21791	Gm21854	10	6.187622e-11	1.323842e-6	1.323842e-7	3.906472e+1	2.047883e-1	8	2.553471e-4	9.975062e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_5048100_5048297,chrY_5245840_5246100,chrY_5265783_5266170,chrY_5266553_5266758,chrY_5275347_5275736,chrY_5583251_5583545,chrY_5679687_5679855,chrY_5687407_5687636	Gm21854
Ensembl Genes	21810	Gm21721	11	8.229164e-11	1.760630e-6	1.600572e-7	9.494167e+1	6.319670e-2	6	7.879888e-5	7.481297e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_9180317_9180448,chrY_9189764_9189988,chrY_9197423_9197885,chrY_9290079_9290252,chrY_9290664_9290821,chrY_9329924_9330411	Gm21721
Ensembl Genes	21789	Gm20918	12	3.710285e-8	7.938155e-4	6.615129e-5	1.705977e+1	4.689396e-1	8	5.847127e-4	9.975062e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_4420889_4421043,chrY_5027439_5027593,chrY_5048100_5048297,chrY_5245840_5246100,chrY_5265783_5266170,chrY_5266553_5266758,chrY_5275347_5275736,chrY_5583251_5583545	Gm20918
Ensembl Genes	5032	2410141K09Rik	13	7.835029e-8	1.676304e-3	1.289465e-4	2.968055e+1	2.021526e-1	6	2.520606e-4	7.481297e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr13_66294075_66294202,chr13_66301981_66302205,chr13_66431431_66432205,chr13_66588693_66589408,chr13_66727181_66727363,chr13_66799435_66799781	2410141K09Rik
Ensembl Genes	21792	Gm20914	14	9.759917e-8	2.088134e-3	1.491524e-4	1.012559e+2	3.950388e-2	4	4.925671e-5	4.987531e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_5679687_5679855,chrY_5687407_5687636,chrY_5738914_5739188,chrY_5754871_5755110	Gm20914
Ensembl Genes	21808	Gm20815	15	3.716424e-7	7.951289e-3	5.300859e-4	2.269742e+1	2.643472e-1	6	3.296100e-4	7.481297e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_8999768_9000082,chrY_9059528_9059720,chrY_9059854_9060003,chrY_9098267_9098505,chrY_9099492_9100132,chrY_9117453_9117633	Gm20815
Ensembl Genes	21811	Gm21812	16	6.194565e-7	1.325327e-2	8.283295e-4	6.349685e+1	6.299526e-2	4	7.854770e-5	4.987531e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_9290079_9290252,chrY_9290664_9290821,chrY_9329924_9330411,chrY_9401855_9402114	Gm21812
Ensembl Genes	8757	Bambi	17	2.727939e-6	5.836425e-2	3.433191e-3	2.398401e+1	2.084722e-1	5	2.599404e-4	6.234414e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr18_3508294_3509423,chr18_3566289_3567461,chr18_3653912_3654258,chr18_3866682_3866977,chr18_3867122_3868439	Bambi
Ensembl Genes	13591	Gm8439	18	2.908699e-6	6.223162e-2	3.457312e-3	1.147634e+2	2.614074e-2	3	3.259444e-5	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr4_120589563_120590521,chr4_120602808_120603094,chr4_120649484_120650074	Gm8439
Ensembl Genes	21797	Gm28919	19	9.240120e-6	1.976924e-1	1.040486e-2	3.191270e+1	1.253420e-1	4	1.562867e-4	4.987531e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_6326847_6327080,chrY_6392774_6392984,chrY_6492824_6493010,chrY_6524057_6524338	Gm28919
Ensembl Genes	21812	Gm21874	20	1.022086e-5	2.186753e-1	1.093376e-2	3.109771e+1	1.286268e-1	4	1.603826e-4	4.987531e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_9401855_9402114,chrY_9495970_9496316,chrY_9500425_9500598,chrY_9588052_9588261	Gm21874
Ensembl Genes	13592	Cited4	21	1.707769e-5	3.653772e-1	1.739891e-2	6.327958e+1	4.740866e-2	3	5.911304e-5	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr4_120589563_120590521,chr4_120602808_120603094,chr4_120649484_120650074	Cited4
Ensembl Genes	20283	Car12	22	3.220277e-5	6.889783e-1	3.131719e-2	5.107639e+1	5.873555e-2	3	7.323635e-5	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr9_66611815_66612170,chr9_66628355_66628977,chr9_66748138_66748920	Car12
Ensembl Genes	21813	Gm20821	23	8.084339e-5	1.000000e+0	7.520193e-2	1.821247e+1	2.196298e-1	4	2.738526e-4	4.987531e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chrY_10015037_10015477,chrY_9495970_9496316,chrY_9500425_9500598,chrY_9588052_9588261	Gm20821
