# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr11_17091736_17091792	Ppp3r1 (-67499), Cnrip1 (+39946)
chr11_23895240_23895513	Papolg (-124)
chr11_25100085_25100186	NONE
chr11_32533066_32533258	Stk10 (-143)
chr11_44470410_44470622	Ublcp1 (-18)
chr11_54443064_54443119	Rapgef6 (-79854), Fnip1 (+4893)
chr11_58866965_58867075	2810021J22Rik (-196)
chr11_62629301_62629415	Lrrc75a (+19165), Trpv2 (+54820)
chr11_84429771_84429840	Aatf (+83716), Acaca (+256684)
chr11_84829018_84829144	Dhrs11 (-117)
chr11_90417931_90418147	Hlf (-27144), Stxbp4 (+220045)
chr11_106844996_106845172	Cep95 (+55809), Smurf2 (+75386)
chr11_111070574_111070818	Kcnj2 (+4532)
chr11_114195442_114195508	Rpl38 (-473134), Sdk2 (-129257)
chr11_115336168_115336392	Otop3 (+1546), Hid1 (+31476)
chr11_120098720_120098859	Ndufaf8 (-138), Tepsin (-59)
chr19_45742890_45742966	Fgf8 (-55)
chr19_45743027_45743390	Fgf8 (-336)
chr12_5506034_5506549	Klhl29 (-130610)
chr12_11266039_11266143	Gen1 (-325), Smc6 (+205)
chr12_12519185_12519254	Fam49a (+257081), Mycn (+422694)
chr12_16307329_16307406	Trib2 (-490583), Lpin1 (+282402)
chr12_35389245_35389753	Ahr (+145539), Snx13 (+342313)
chr12_38778473_38778543	Etv1 (-1574)
chr12_46289172_46289238	Nova1 (+529724)
chr12_47738609_47738750	Nova1 (-919751)
chr12_81484744_81485008	Cox16 (+244)
chr12_86196718_86196776	Gpatch2l (-45111), Ift43 (+114184)
chr12_88899800_88899867	Nrxn3 (+105330)
chr12_95275636_95275692	Flrt2 (-416562)
chr12_110889022_110889188	Tecpr2 (-207), Cinp (+40)
chr13_5000741_5000813	Klf6 (-860705), Akr1e1 (-391603)
chr13_8025027_8025093	Adarb2 (-177806)
chr13_10131166_10131439	Zmynd11 (-366815), Chrm3 (+229541)
chr13_23318178_23318532	Zfp322a (+50853), Vmn1r223 (+69117)
chr13_24831390_24831478	Tdp2 (-245), Acot13 (+83)
chr13_26747206_26747694	Hdgfl1 (+22715)
chr13_40441556_40441677	Ofcc1 (-153606), Tfap2a (+292206)
chr13_40642935_40643262	Ofcc1 (-355088), Tfap2a (+90724)
chr13_52978349_52978421	Auh (-48724), Nfil3 (+2688)
chr13_55100108_55100623	Zfp346 (-4961), Uimc1 (-71)
chr13_73626729_73626999	Tert (-52)
chr13_74468101_74468162	Zfp72 (-77296), Zfp825 (+25838)
chr13_78582618_78582806	Nr2f1 (-382955)
chr13_81901004_81901059	Cetn3 (+117955)
chr13_84808870_84809003	Ccnh (-380471), Tmem161b (+586637)
chr13_92844604_92844831	Mtx3 (-69)
chr14_45589801_45589958	Fermt2 (-59762), Ddhd1 (+68218)
chr13_100607345_100607415	Ocln (-54882), Marveld2 (+9322)
chr13_107955483_107955683	Kif2a (-933469), Smim15 (-88906)
