# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1_3901785_3901879	Xkr4 (-230334), Rp1 (+458482)
chr1_7777145_7777680	Pcmtd1 (+688493)
chr1_7778274_7778549	Pcmtd1 (+689492)
chr1_12644764_12644848	Sulf1 (-47471)
chr1_12875503_12876108	Slco5a1 (+115329), Sulf1 (+183529)
chr1_13081444_13081712	Slco5a1 (-90443), Prdm14 (+45585)
chr1_14010660_14011160	Eya1 (+299290), Xkr9 (+342139)
chr1_14718593_14718976	Eya1 (-408585), Msc (+37205)
chr1_14998005_14998094	Kcnb2 (-314402), Trpa1 (-79188)
chr1_16533001_16533676	Stau2 (-14033), Ube2w (+86150)
chr1_16619277_16619411	Ube2w (+145)
chr1_17149262_17149318	Pi15 (-452611), Gdap1 (+3928)
chr1_19981569_19982050	Pkhd1 (+636254), Tfap2b (+772896)
chr1_20870874_20871534	Mcm3 (-50892), Paqr8 (-19402)
chr1_24102621_24102935	Fam135a (-2445)
chr1_36068033_36068514	Hs6st1 (-126)
chr1_36666770_36667097	Sema4c (-109408), Fam178b (+16249)
chr1_36939610_36940204	Tmem131 (-85)
chr1_37299620_37299962	Inpp4a (-58128), Cnga3 (+81412)
chr1_37429569_37430292	Unc50 (-239), Coa5 (+172)
chr1_39577340_39577626	Rnf149 (-78)
chr1_42714450_42714776	Mrps9 (-136620), Pou3f3 (+18845)
chr1_43147457_43147979	Fhl2 (+16243), AI597479 (+49008)
chr1_44951221_44951282	Col3a1 (-360286), Gulp1 (+399741)
chr1_46076071_46076164	Dnah7c (-349474), Dnah7b (+9380)
chr1_47572575_47573427	Slc39a10 (-718955)
chr1_50317805_50317937	Tmeff2 (-609648)
chr1_51478192_51478469	Nabp1 (+68)
chr1_52830648_52830964	Hibch (-14240), Inpp1 (-13118)
chr1_54736113_54736220	Pgap1 (-178485), Ankrd44 (+190220)
chr1_55718406_55718661	Plcl1 (+312613), Hsfy2 (+918901)
chr1_55887568_55887752	Plcl1 (+481739), Hsfy2 (+749775)
chr1_58170602_58170717	Aox4 (-39737), Aox3 (+57524)
chr1_58197327_58197789	Aox4 (-12839), Aox3 (+84422)
chr1_59481847_59482366	Fzd7 (-317)
chr1_59535364_59535451	Gm973 (+19144), Sumo1 (+135426)
chr1_60715593_60715915	Raph1 (-148975), Cd28 (-30604)
chr1_62599481_62599976	Nrp2 (-103973), Pard3b (+960905)
chr1_64087814_64088378	4933402D24Rik (-318829), Klf7 (+33395)
chr1_66816949_66817177	Kansl1l (+483)
chr1_67038481_67039246	Lancl1 (+8)
chr1_67141045_67141236	Cps1 (+18115)
chr1_67734389_67734445	Cps1 (+611391)
chr1_73089968_73090224	Tnp1 (-74187)
chr1_74770739_74771089	Wnt6 (-978)
chr1_74771497_74771602	Wnt6 (-342)
chr1_74808074_74808578	Cdk5r2 (-46608), Wnt10a (+16810)
chr1_75124290_75125220	Nhej1 (-78116), Slc23a3 (+9135)
chr1_75341615_75341711	Dnpep (-24004), Des (-18666)
chr1_77233653_77234418	Epha4 (+281052)
chr1_77370902_77371217	Epha4 (+144028)
chr1_77447222_77447393	Epha4 (+67780)
chr1_80221032_80221279	Fam124b (-7212), Cul3 (+119324)
chr1_81839124_81839306	Gm9747 (-393897), Nyap2 (+761898)
chr1_84579760_84579841	Pid1 (-295156), Dner (+116420)
chr1_86303062_86303338	B3gnt7 (-34)
chr1_86434302_86434715	Ptma (-92217), Tex44 (+8180)
chr1_86441364_86441873	Ptma (-85107), Tex44 (+15290)
chr1_86442201_86442290	Ptma (-84480), Tex44 (+15917)
chr1_87326798_87327071	Gigyf2 (-68)
chr1_88456378_88456679	Spp2 (+49568), Glrp1 (+53537)
chr1_88702264_88702446	Arl4c (-134)
chr1_88847643_88848250	Sh3bp4 (-222468), Arl4c (-145726)
chr1_89542574_89542660	Agap1 (+87811), Gbx2 (+388562)
chr1_90028425_90028729	Asb18 (-14000), Iqca (+124824)
chr1_90110618_90110901	Asb18 (-96183), Iqca (+42641)
chr1_90156914_90157348	Iqca (-3730)
chr1_91494222_91494972	Traf3ip1 (-97)
chr1_93272483_93272858	Mterf4 (+33244), Sned1 (+36830)
chr1_94278901_94279166	Pdcd1 (-226481)
chr1_94328133_94328299	Fam174a (-985407), Pdcd1 (-275663)
chr1_95294928_95295445	Fam174a (-18436)
chr1_96401521_96401791	St8sia4 (-734085), Slco4c1 (+470515)
chr1_97977233_97977295	Ppip5k2 (-206853), Pam (+118368)
chr1_105885588_105886029	Zcchc2 (-104597), Tnfrsf11a (+105091)
chr1_105988116_105988748	Zcchc2 (-1974)
chr1_110706233_110706353	Cdh19 (+271070), Cdh7 (+723583)
chr1_114710338_114710887	Cntnap5a (-974143)
chr1_118891176_118891787	Gli2 (+162137), Tfcp2l1 (+263536)
chr1_119048514_119048932	Gli2 (+4896), Tfcp2l1 (+420777)
chr1_120621815_120622258	En1 (+19619), Insig2 (+705987)
chr1_130462773_130462856	Cd55 (-71)
chr1_133363404_133363668	Etnk2 (-36)
chr1_133695899_133696485	Lax1 (-6084), Atp2b4 (+104849)
chr1_134837164_134837366	Ppp1r12b (+118586), Syt2 (+127965)
chr1_135069580_135070214	Lgr6 (+35379), Ube2t (+107332)
chr1_136364897_136364952	Ddx59 (-50346), Camsap2 (-18821)
chr1_149546129_149546677	Pla2g4a (+414887)
chr1_152808158_152808570	Ncf2 (+8170), Smg7 (+69804)
chr1_153332898_153333120	Lamc1 (-223)
chr1_154020080_154020654	Zfp648 (-180820), Glul (+120423)
chr1_155083541_155083676	Cacna1e (-357253), Ier5 (+16027)
chr1_156303572_156303848	Tdrd5 (-46)
chr1_156474208_156474294	Soat1 (+80)
chr1_156474350_156474625	Soat1 (-157)
chr1_156559293_156559382	Abl2 (+289)
chr1_156874482_156874550	Angptl1 (+35954), Ralgps2 (+64871)
chr1_158427506_158427793	Astn1 (+65377), Pappa2 (+530717)
chr1_166736557_166736947	Fam78b (-264665), Fmo9 (-54907)
chr1_167104944_167105025	Fam78b (+103568), Uck2 (+180335)
