# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1_9827915_9828152	Mcmdc2 (-80604), Sgk3 (+29891)
chr1_14010618_14011255	Eya1 (+299263), Xkr9 (+342166)
chr1_16532911_16534352	Stau2 (-14326), Ube2w (+85857)
chr1_51644903_51645280	Nabp1 (-166693), Myo1b (+270836)
chr1_52830472_52830954	Hibch (-14333), Inpp1 (-13025)
chr1_54853271_54853993	Pgap1 (-295950), Ankrd44 (+72755)
chr1_59483139_59483561	Fzd7 (+926)
chr1_59535183_59535708	Gm973 (+19182), Sumo1 (+135388)
chr1_61387335_61387996	Pard3b (-251158), Icos (+409739)
chr1_64087384_64088530	4933402D24Rik (-318690), Klf7 (+33534)
chr1_66220024_66220380	Map2 (-101517), Crygf (+293682)
chr1_69591449_69591865	Erbb4 (-483598), Ikzf2 (+94164)
chr1_71680195_71680786	Fn1 (-27316), Mreg (+531816)
chr1_73307241_73308091	Tnp1 (-291757), Tns1 (+816781)
chr1_77219706_77220495	Epha4 (+294987)
chr1_77370602_77371463	Epha4 (+144055)
chr1_78396284_78396886	Sgpp2 (+86240), Farsb (+92274)
chr1_86525424_86526098	Ptma (-965)
chr1_87139475_87139663	Akp3 (+14561), Ecel1 (+16952)
chr1_88456160_88457023	Spp2 (+49631), Glrp1 (+53474)
chr1_90972435_90973484	Rab17 (-3299)
chr1_92214968_92215830	Hdac4 (-35058), Ndufa10 (+258461)
chr1_118890995_118891950	Gli2 (+162146), Tfcp2l1 (+263527)
chr1_119048518_119048822	Gli2 (+4949), Tfcp2l1 (+420724)
chr1_119048969_119049217	Gli2 (+4526), Tfcp2l1 (+421147)
chr1_119577313_119578072	Tmem185b (+51533), Epb41l5 (+71243)
chr1_126045906_126046585	Lypd1 (-134032), Nckap5 (+784386)
chr1_132565503_132565954	Cntn2 (-22790), Nfasc (+176028)
chr1_133407840_133408514	Sox13 (+16200), Etnk2 (+44605)
chr1_133695244_133696778	Lax1 (-5903), Atp2b4 (+105030)
chr1_134836872_134837427	Ppp1r12b (+118701), Syt2 (+127850)
chr1_135021634_135022447	Ube2t (+59476), Lgr6 (+83235)
chr1_137042338_137042608	Nr5a2 (-82025)
chr1_137932278_137932925	Nr5a2 (-972154), Ptprc (+242665)
chr1_149545951_149546611	Pla2g4a (+415009)
chr1_151952742_151953304	1700025G04Rik (+137102), Edem3 (+197649)
chr1_152808142_152808867	Ncf2 (+8311), Smg7 (+69663)
chr1_156780750_156780979	Fam20b (-61793), Angptl1 (-57697)
chr1_156915928_156916486	Ralgps2 (+23180), Angptl1 (+77645)
chr1_170406715_170407260	Spata46 (+98185), Nos1ap (+182873)
chr1_172629352_172629885	Fcrl6 (-27068), Dusp23 (+3343)
chr1_178748293_178748615	Kif26b (+219329), Smyd3 (+769580)
chr1_182679523_182679847	Ccdc185 (+69495), Capn8 (+114673)
chr1_182686121_182687072	Ccdc185 (+62583), Capn8 (+121585)
chr1_183798527_183799026	1700056E22Rik (+235221), Hhipl2 (+380315)
chr1_185363101_185363928	Eprs (+471)
chr1_185364113_185364289	Slc30a10 (-90647), Eprs (+1157)
chr1_186455123_186455862	Lyplal1 (-338183), Tgfb2 (+250207)
chr1_194294926_194295921	Camk1g (-925126), Plxna2 (-324401)
chr1_194637575_194638345	Cd34 (-300859), Plxna2 (+18135)
chr10_3747341_3748073	Mthfd1l (-225424), Plekhg1 (+7343)
chr10_3839741_3840429	Mthfd1l (-133046), Plekhg1 (+99721)
chr10_5852433_5852593	Mtrf1l (-28603), Rgs17 (+69887)
chr10_9557370_9558074	Sash1 (-671652), Samd5 (+117486)
chr10_20474767_20475262	Pde7b (+73313), Mtfr2 (+127245)
chr10_24736879_24737636	Enpp1 (-25267), Enpp3 (+98967)
chr10_28211529_28212466	Themis (-456362), Ptprk (+137178)
chr10_43467650_43468092	Bend3 (-10960), Pdss2 (+246385)
chr10_51744361_51744519	Vgll2 (-278062), Rfx6 (+66684)
chr10_60793427_60794990	Slc29a3 (-41427), Unc5b (+37372)
chr10_60813548_60814597	Slc29a3 (-61291), Unc5b (+17508)
chr10_62208411_62208904	Tspan15 (+22593), Neurog3 (+75568)
chr10_68276719_68277215	Arid5b (+1773), Rtkn2 (+297369)
chr10_69839130_69839838	Ccdc6 (-257637), Ank3 (+305712)
chr10_75124459_75125489	Specc1l (-87416), Bcr (+64382)
chr10_76963669_76964531	Pcbp3 (-2312)
chr10_77497736_77497939	Adarb1 (-79568), Fam207a (+17947)
chr10_78414857_78415065	Rrp1 (-1918)
chr10_80054157_80054700	Gpx4 (+392)
chr10_80055087_80056206	Gpx4 (+1610), Sbno2 (+48723)
chr10_80059939_80060459	Gpx4 (+6162), Sbno2 (+44171)
chr10_80149341_80151828	Cirbp (-17193), Midn (+2313)
